"","População","Renda","Região"
"963",771,"454348","Leste"
"964",987,"551703","Leste"
"965",428,"203124","Leste"
"966",747,"401771","Leste"
"967",1259,"689423","Leste"
"968",18,"X","Leste"
"969",2,"X","Leste"
"970",1307,"943414","Leste"
"971",836,"854872","Leste"
"972",928,"1002068","Leste"
"973",678,"454616","Leste"
"974",766,"368105","Leste"
"975",892,"462864","Leste"
"976",764,"393540","Leste"
"977",164,"107655","Leste"
"978",934,"546229","Leste"
"979",637,"381115","Leste"
"980",674,"461512","Leste"
"981",761,"433178","Leste"
"982",833,"531891","Leste"
"983",717,"568664","Leste"
"984",790,"553849","Leste"
"985",1586,"1013855","Leste"
"986",579,"391395","Leste"
"987",14,"X","Leste"
"988",1016,"555682","Leste"
"989",937,"589237","Leste"
"990",976,"517429","Leste"
"991",874,"446437","Leste"
"992",987,"302887","Leste"
"993",694,"283967","Leste"
"994",685,"424057","Leste"
"995",416,"257235","Leste"
"996",702,"455222","Leste"
"997",646,"330551","Leste"
"998",1118,"612155","Leste"
"999",835,"500949","Leste"
"1000",651,"428703","Leste"
"1001",633,"320975","Leste"
"1002",959,"686021","Leste"
"1003",921,"491636","Leste"
"1004",958,"532390","Leste"
"1005",776,"463411","Leste"
"1006",633,"403304","Leste"
"1007",752,"501144","Leste"
"1008",776,"485357","Leste"
"1009",880,"646966","Leste"
"1010",695,"256835","Leste"
"1011",863,"318057","Leste"
"1012",923,"457526","Leste"
"1013",543,"361539","Leste"
"1014",721,"442476","Leste"
"1015",890,"541787","Leste"
"1016",1392,"723631","Leste"
"1017",734,"398130","Leste"
"1018",604,"307102","Leste"
"1019",958,"492935","Leste"
"1020",611,"323009","Leste"
"1021",613,"232904","Leste"
"1022",801,"314479","Leste"
"1023",993,"383720","Leste"
"1024",602,"285031","Leste"
"1025",659,"357724","Leste"
"1026",661,"277431","Leste"
"1027",876,"480720","Leste"
"1028",997,"552741","Leste"
"1029",380,"322665","Leste"
"1030",1914,"737879","Leste"
"1031",941,"545368","Leste"
"1032",568,"348767","Leste"
"1033",925,"501326","Leste"
"1034",968,"530184","Leste"
"1035",607,"188616","Leste"
"1036",422,"170657","Leste"
"1037",791,"444381","Leste"
"1038",989,"500406","Leste"
"1039",640,"297184","Leste"
"1040",1093,"411365","Leste"
"1041",835,"340742","Leste"
"1042",1077,"490009","Leste"
"1043",1638,"867176","Leste"
"1044",571,"203403","Leste"
"1045",889,"403469","Leste"
"1046",523,"252207","Leste"
"1047",711,"256640","Leste"
"1048",446,"176042","Leste"
"1049",13,"X","Leste"
"1050",647,"327951","Leste"
"1051",60,"38370","Leste"
"1052",407,"167331","Leste"
"1053",432,"242827","Leste"
"1054",536,"413180","Leste"
"1055",732,"238444","Leste"
"1056",470,"170041","Leste"
"1057",219,"334550","Leste"
"1058",182,"118981","Leste"
"1059",253,"128056","Leste"
"1060",178,"X","Leste"
"1061",597,"371472","Leste"
"1062",1771,"780869","Leste"
"1063",454,"205492","Leste"
"1064",618,"428381","Leste"
"1065",760,"303401","Leste"
"1066",110,"55460","Leste"
"1067",442,"302780","Leste"
"1068",691,"158381","Leste"
"1069",964,"200320","Leste"
"1070",438,"112911","Leste"
"1071",785,"356523","Leste"
"1072",650,"271941","Leste"
"1073",349,"295155","Leste"
"1074",782,"494134","Extremo Norte"
"1075",883,"449704","Extremo Norte"
"1076",526,"305950","Extremo Norte"
