Cod_setor;Situacao_setor;V001;V002;V003
350070905000018;1;146;0;0
350070905000019;1;189;0;0
350070905000020;1;80;0;0
350070905000021;1;204;0;0
350070905000022;1;144;0;0
350070905000023;1;204;0;0
350070905000024;1;120;0;0
350070905000025;1;45;0;0
350070905000026;1;227;0;0
350070905000027;1;158;1;0
350070905000028;1;47;0;0
350070905000029;1;211;0;0
350070905000030;1;176;0;0
350070905000031;1;161;0;0
350070905000032;1;178;0;0
350070905000033;1;94;0;0
350070905000034;1;199;0;0
350070905000035;1;144;0;0
350070905000036;3;23;0;0
350070905000037;3;4;0;0
350070905000038;8;43;0;0
350070905000039;8;6;0;0
350070905000040;8;0;0;0
350070905000041;8;63;0;0
350070905000042;1;60;0;0
350070905000043;1;87;0;0
350070905000044;1;90;0;0
350070905000045;1;98;0;0
350070905000046;1;180;0;0
350070905000047;8;17;0;0
350070910000001;1;81;0;0
350070910000002;8;66;0;0
350070910000003;8;61;0;0
350075805000001;1;137;0;0
350075805000002;1;153;0;0
350075805000003;3;4;0;0
350075805000004;3;85;0;0
350075805000005;8;43;0;0
350075805000006;8;21;0;0
350075805000007;8;56;0;0
350075805000008;1;59;0;0
350075805000009;1;0;X;X
350075805000010;1;163;0;0
350075805000011;1;9;0;0
350075805000012;1;2;X;X
350075805000013;1;6;0;0
350075805000014;1;17;0;0
350075805000015;8;89;0;0
350075805000016;3;8;0;0
350080805000001;1;39;0;0
350080805000002;1;68;0;0
350080805000003;1;85;0;0
350080805000004;1;39;0;1
350080805000005;1;98;0;0
350080805000006;2;79;0;0
350080805000007;2;5;0;0
350080805000008;2;6;0;0
350080805000009;8;8;0;0
350080805000010;8;10;0;1
350080805000011;8;10;0;0
350080805000012;8;7;0;0
350080805000013;8;13;0;0
350090705000001;1;103;1;0
350090705000002;1;162;0;0
350090705000003;1;129;0;0
350090705000004;8;69;0;0
350090705000006;1;22;0;0
350090715000001;1;81;0;0
350090715000002;8;58;0;0
350100405000001;1;67;0;0
350100405000002;1;45;0;0
350100405000003;1;30;0;1
350100405000004;1;2;X;X
350100405000005;1;61;0;0
350100405000006;1;106;1;0
350100405000007;1;131;0;0
350100405000008;1;87;0;0
350100405000009;1;94;0;0
350100405000010;1;207;1;0
350100405000011;1;53;0;0
350100405000012;1;77;0;0
350100405000013;1;79;1;0
350100405000014;1;108;0;0
350100405000015;1;72;0;0
350100405000016;1;79;0;0
350100405000017;1;106;0;0
350100405000018;1;24;0;0
350100405000019;1;30;0;0
350100405000020;1;0;X;X
350100405000021;1;1;X;X
350100405000022;1;124;0;0
350100405000023;8;14;0;0
350100405000024;8;84;0;0
350100405000025;8;75;0;0
350100405000026;8;77;0;0
350100405000027;8;28;0;0
350100405000028;8;50;0;0
350100405000029;8;44;0;0
350100405000030;8;1;X;X
350100405000031;1;86;0;0
350100405000032;1;159;0;0
350110305000001;1;139;0;0
350110305000002;1;42;0;0
350110305000003;1;41;0;0
350110305000004;1;71;0;0
350110305000005;3;3;X;X
350110305000006;8;3;X;X
350110305000007;8;25;0;0
350110305000008;8;12;0;0
350110305000009;8;14;0;0
350110305000010;8;8;0;0
350110310000001;1;63;1;0
350110310000002;8;12;0;0
350110315000001;1;39;1;0
350110315000002;8;17;0;0
350115205000001;1;96;0;0
350115205000002;1;171;0;0
350115205000003;1;160;0;0
350115205000004;1;89;0;0
350115205000005;1;97;0;0
350115205000006;1;177;0;0
350115205000007;1;94;0;0
350115205000008;1;86;0;0
350115205000009;1;182;0;0
350115205000010;1;165;0;0
350115205000011;1;192;0;0
350115205000012;1;199;0;0
350115205000013;1;82;0;0
350115205000014;3;10;X;X
350115205000015;3;1;X;X
350115205000017;3;167;0;0
350115205000018;8;50;0;0
350115205000019;8;250;0;0
350115205000020;1;83;0;0
350115205000021;1;90;0;0
350115205000022;1;147;0;0
350115205000023;1;99;0;0
350115205000024;3;99;0;0
350115205000025;8;209;3;0
350120205000001;1;73;0;0
350120205000002;1;65;0;0
350120205000003;1;0;X;X
350120205000004;8;17;X;X
350120205000005;8;34;0;0
350120205000006;8;22;0;0
350120205000007;8;23;0;0
350120205000008;1;74;0;0
350120205000009;1;59;0;0
350120210000001;1;29;0;0
350120210000002;8;17;X;X
350120210000004;8;0;X;X
350130105000001;1;51;0;0
350130105000002;1;104;0;0
350130105000003;1;118;0;0
350130105000004;1;249;0;0
350130105000005;1;130;0;0
350130105000006;1;97;0;0
350130105000007;1;134;0;0
350130105000008;1;176;0;0
350130105000009;1;89;0;0
350130105000010;1;140;0;0
350130105000011;1;108;0;0
350130105000012;2;99;0;0
350130105000013;1;225;0;0
350130105000014;1;119;0;0
350130105000015;1;158;0;0
350130105000016;1;125;0;0
350130105000017;1;164;0;0
350130105000019;1;149;0;0
350130105000020;1;140;0;4
350130105000021;2;35;0;0
350130105000022;2;136;0;0
350130105000023;1;149;0;0
350130105000024;1;56;0;3
350130105000025;1;109;0;0
350130105000026;1;104;0;0
350130105000027;8;39;0;0
350130105000028;8;25;0;0
350130105000029;8;47;0;0
350130105000030;8;56;0;0
350130105000031;8;61;0;0
350130110000001;1;83;0;0
350130110000002;8;37;0;0
350130110000003;8;14;0;0
350130110000004;8;8;0;0
350140005000001;1;102;0;0
350140005000002;1;117;0;0
350140005000003;1;165;0;0
350140005000004;1;47;0;0
350140005000005;1;70;0;0
350140005000006;8;11;0;0
350140005000007;8;11;0;0
350140005000008;8;12;0;0
350140005000009;8;25;0;0
350150905000001;1;165;0;0
350150905000002;1;156;0;0
350150905000003;1;99;0;0
350150905000004;1;31;0;0
350150905000005;8;34;0;0
350150905000007;8;23;0;0
350160805000001;1;25;0;0
350160805000002;1;56;0;0
350160805000003;1;37;0;0
350160805000004;1;28;0;0
350160805000005;1;94;0;0
350160805000006;1;61;0;0
350160805000007;1;70;0;0
350160805000008;1;70;0;0
350160805000009;1;38;0;0
350160805000010;1;18;0;0
350160805000011;1;56;0;0
350160805000012;1;41;0;0
350160805000013;1;32;0;0
350160805000014;1;56;0;0
350160805000015;1;48;0;0
350160805000016;1;40;0;0
350160805000017;1;56;0;0
350160805000018;1;62;0;0
350160805000019;1;93;0;0
350160805000020;1;53;0;0
350160805000021;1;90;0;0
350160805000022;1;64;0;0
350160805000023;1;93;0;0
350160805000024;1;51;0;0
350160805000025;1;62;0;0
350160805000026;1;56;0;2
350160805000027;1;142;0;0
350160805000028;1;80;0;0
350160805000029;1;59;0;0
350160805000030;1;59;0;5
350160805000031;1;55;0;0
350160805000032;1;63;0;0
350160805000033;1;39;0;0
350160805000034;1;75;0;0
350160805000035;1;44;0;0
350160805000036;1;44;0;0
350160805000037;1;30;0;0
350160805000038;1;40;0;0
350160805000039;1;33;0;0
350160805000040;1;36;0;0
350160805000041;1;47;0;0
350160805000042;1;54;0;0
350160805000043;1;41;0;0
350160805000044;1;23;0;0
350160805000045;1;62;0;0
350160805000046;1;98;0;0
350160805000047;1;45;0;0
350160805000048;1;108;0;0
350160805000049;1;0;X;X
350160805000050;1;183;0;0
350160805000051;1;166;0;2
