Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Piedade;  52 143 ;  3 398 ;  3 727 ;  4 789 ;  2 792 ;  1 728 ;  4 287 ;Piedade;  4 294 ;  4 061 ;  3 855 ;  7 118 ;  5 515 ;  3 702 ;  2 877 ;353780005;;;;;;;
Pilar do Sul;  26 406 ;  1 804 ;  2 132 ;  2 426 ;  1 532 ;   924 ;  2 263 ;Pilar do Sul;  2 170 ;  2 092 ;  1 908 ;  3 375 ;  2 595 ;  1 866 ;  1 319 ;3537909;;;;;;;
Pilar do Sul;  26 406 ;  1 804 ;  2 132 ;  2 426 ;  1 532 ;   924 ;  2 263 ;Pilar do Sul;  2 170 ;  2 092 ;  1 908 ;  3 375 ;  2 595 ;  1 866 ;  1 319 ;353790905;;;;;;;
Pindamonhangaba;  146 995 ;  9 976 ;  10 980 ;  12 931 ;  7 581 ;  4 939 ;  12 776 ;Pindamonhangaba;  13 532 ;  12 509 ;  10 936 ;  19 668 ;  16 176 ;  8 878 ;  6 113 ;3538006;;;;;;;
Moreira César;  38 138 ;  2 950 ;  3 221 ;  3 735 ;  2 060 ;  1 339 ;  3 354 ;Moreira César;  3 555 ;  3 314 ;  2 833 ;  4 975 ;  3 877 ;  1 841 ;  1 084 ;353800610;;;;;;;
Pindamonhangaba;  108 857 ;  7 026 ;  7 759 ;  9 196 ;  5 521 ;  3 600 ;  9 422 ;Pindamonhangaba;  9 977 ;  9 195 ;  8 103 ;  14 693 ;  12 299 ;  7 037 ;  5 029 ;353800605;;;;;;;
Pindorama;  15 039 ;   877 ;   892 ;  1 054 ;   679 ;   462 ;  1 297 ;Pindorama;  1 329 ;  1 184 ;  1 130 ;  2 054 ;  1 698 ;  1 210 ;  1 173 ;3538105;;;;;;;
Pindorama;  12 965 ;   759 ;   767 ;   894 ;   576 ;   390 ;  1 123 ;Pindorama;  1 169 ;  1 027 ;   978 ;  1 768 ;  1 449 ;  1 043 ;  1 022 ;353810505;;;;;;;
Roberto;  2 074 ;   118 ;   125 ;   160 ;   103 ;   72 ;   174 ;Roberto;   160 ;   157 ;   152 ;   286 ;   249 ;   167 ;   151 ;353810510;;;;;;;
Pinhalzinho;  13 105 ;   777 ;   892 ;  1 060 ;   624 ;   425 ;  1 047 ;Pinhalzinho;  1 010 ;  1 004 ;   881 ;  1 675 ;  1 613 ;  1 204 ;   893 ;3538204;;;;;;;
Pinhalzinho;  13 105 ;   777 ;   892 ;  1 060 ;   624 ;   425 ;  1 047 ;Pinhalzinho;  1 010 ;  1 004 ;   881 ;  1 675 ;  1 613 ;  1 204 ;   893 ;353820405;;;;;;;
Piquerobi;  3 537 ;   205 ;   232 ;   264 ;   178 ;   131 ;   271 ;Piquerobi;   259 ;   235 ;   261 ;   552 ;   389 ;   310 ;   250 ;3538303;;;;;;;
Piquerobi;  3 537 ;   205 ;   232 ;   264 ;   178 ;   131 ;   271 ;Piquerobi;   259 ;   235 ;   261 ;   552 ;   389 ;   310 ;   250 ;353830305;;;;;;;
Piquete;  14 107 ;   850 ;   945 ;  1 054 ;   719 ;   488 ;  1 153 ;Piquete;  1 033 ;   972 ;   950 ;  2 128 ;  1 775 ;  1 155 ;   885 ;3538501;;;;;;;
Piquete;  14 107 ;   850 ;   945 ;  1 054 ;   719 ;   488 ;  1 153 ;Piquete;  1 033 ;   972 ;   950 ;  2 128 ;  1 775 ;  1 155 ;   885 ;353850105;;;;;;;
Piracaia;  25 116 ;  1 518 ;  1 673 ;  2 212 ;  1 311 ;   810 ;  2 056 ;Piracaia;  1 983 ;  2 055 ;  1 998 ;  3 438 ;  2 695 ;  1 833 ;  1 534 ;3538600;;;;;;;
Batatuba;  4 638 ;   299 ;   339 ;   436 ;   256 ;   145 ;   371 ;Batatuba;   358 ;   380 ;   376 ;   622 ;   443 ;   353 ;   260 ;353860010;;;;;;;
Piracaia;  20 478 ;  1 219 ;  1 334 ;  1 776 ;  1 055 ;   665 ;  1 685 ;Piracaia;  1 625 ;  1 675 ;  1 622 ;  2 816 ;  2 252 ;  1 480 ;  1 274 ;353860005;;;;;;;
Piracicaba;  364 571 ;  22 183 ;  24 084 ;  28 116 ;  17 027 ;  11 512 ;  31 927 ;Piracicaba;  34 280 ;  31 169 ;  27 382 ;  50 583 ;  40 754 ;  24 851 ;  20 703 ;3538709;;;;;;;
Artemis;  6 543 ;   405 ;   417 ;   534 ;   334 ;   202 ;   535 ;Artemis;   599 ;   550 ;   474 ;   928 ;   784 ;   491 ;   290 ;353870910;;;;;;;
Guamium;   614 ;   26 ;   37 ;   55 ;   30 ;   28 ;   47 ;Guamium;   42 ;   43 ;   44 ;   97 ;   66 ;   54 ;   45 ;353870930;;;;;;;
Ibitiruna;  2 365 ;   167 ;   208 ;   238 ;   139 ;   78 ;   178 ;Ibitiruna;   169 ;   180 ;   177 ;   311 ;   227 ;   163 ;   130 ;353870915;;;;;;;
Piracicaba;  301 480 ;  18 021 ;  19 539 ;  22 828 ;  13 859 ;  9 461 ;  26 154 ;Piracicaba;  27 990 ;  25 650 ;  22 829 ;  42 093 ;  33 776 ;  21 043 ;  18 237 ;353870905;;;;;;;
Santa Teresinha de Piracicaba;  49 298 ;  3 285 ;  3 564 ;  4 074 ;  2 447 ;  1 611 ;  4 609 ;Santa Teresinha de Piracicaba;  5 080 ;  4 431 ;  3 556 ;  6 541 ;  5 446 ;  2 832 ;  1 822 ;353870935;;;;;;;
Tupi;  4 271 ;   279 ;   319 ;   387 ;   218 ;   132 ;   404 ;Tupi;   400 ;   315 ;   302 ;   613 ;   455 ;   268 ;   179 ;353870925;;;;;;;
Piraju;  28 475 ;  1 729 ;  1 997 ;  2 337 ;  1 440 ;   884 ;  2 312 ;Piraju;  2 131 ;  2 041 ;  1 927 ;  4 028 ;  3 444 ;  2 238 ;  1 967 ;3538808;;;;;;;
Piraju;  24 479 ;  1 435 ;  1 667 ;  1 949 ;  1 215 ;   730 ;  1 964 ;Piraju;  1 825 ;  1 765 ;  1 640 ;  3 478 ;  3 022 ;  1 978 ;  1 811 ;353880805;;;;;;;
Tibiriçá do Paranapanema;  3 996 ;   294 ;   330 ;   388 ;   225 ;   154 ;   348 ;Tibiriçá do Paranapanema;   306 ;   276 ;   287 ;   550 ;   422 ;   260 ;   156 ;353880825;;;;;;;
Pirajuí;  22 704 ;  1 179 ;  1 263 ;  1 498 ;   956 ;   744 ;  2 481 ;Pirajuí;  2 491 ;  2 008 ;  1 587 ;  2 908 ;  2 493 ;  1 511 ;  1 585 ;3538907;;;;;;;
Corredeira;   196 ;   10 ;   16 ;   22 ;   9 ;   6 ;   4 ;Corredeira;   13 ;   11 ;   17 ;   24 ;   28 ;   18 ;   18 ;353890710;;;;;;;
Pirajuí;  21 733 ;  1 129 ;  1 198 ;  1 417 ;   913 ;   713 ;  2 427 ;Pirajuí;  2 420 ;  1 952 ;  1 527 ;  2 762 ;  2 362 ;  1 407 ;  1 506 ;353890705;;;;;;;
Pradínia;   520 ;   29 ;   35 ;   41 ;   21 ;   14 ;   38 ;Pradínia;   42 ;   30 ;   29 ;   81 ;   63 ;   61 ;   36 ;353890715;;;;;;;
Santo Antônio da Estiva;   255 ;   11 ;   14 ;   18 ;   13 ;   11 ;   12 ;Santo Antônio da Estiva;   16 ;   15 ;   14 ;   41 ;   40 ;   25 ;   25 ;353890720;;;;;;;
Pirangi;  10 623 ;   555 ;   607 ;   768 ;   502 ;   315 ;   857 ;Pirangi;   931 ;   821 ;   759 ;  1 545 ;  1 285 ;   890 ;   788 ;3539004;;;;;;;
Pirangi;  10 623 ;   555 ;   607 ;   768 ;   502 ;   315 ;   857 ;Pirangi;   931 ;   821 ;   759 ;  1 545 ;  1 285 ;   890 ;   788 ;353900405;;;;;;;
Pirapora do Bom Jesus;  15 733 ;  1 318 ;  1 487 ;  1 761 ;   929 ;   551 ;  1 414 ;Pirapora do Bom Jesus;  1 309 ;  1 395 ;  1 172 ;  1 973 ;  1 247 ;   719 ;   458 ;3539103;;;;;;;
Pirapora do Bom Jesus;  15 733 ;  1 318 ;  1 487 ;  1 761 ;   929 ;   551 ;  1 414 ;Pirapora do Bom Jesus;  1 309 ;  1 395 ;  1 172 ;  1 973 ;  1 247 ;   719 ;   458 ;353910305;;;;;;;
Pirapozinho;  24 694 ;  1 506 ;  1 657 ;  2 073 ;  1 311 ;   833 ;  2 155 ;Pirapozinho;  1 861 ;  1 905 ;  1 867 ;  3 739 ;  2 605 ;  1 665 ;  1 517 ;3539202;;;;;;;
Itororó do Paranapanema;   725 ;   50 ;   61 ;   76 ;   53 ;   29 ;   57 ;Itororó do Paranapanema;   39 ;   60 ;   52 ;   102 ;   62 ;   50 ;   34 ;353920210;;;;;;;
Pirapozinho;  23 969 ;  1 456 ;  1 596 ;  1 997 ;  1 258 ;   804 ;  2 098 ;Pirapozinho;  1 822 ;  1 845 ;  1 815 ;  3 637 ;  2 543 ;  1 615 ;  1 483 ;353920205;;;;;;;
Pirassununga;  70 081 ;  4 268 ;  4 438 ;  5 333 ;  3 299 ;  2 172 ;  5 815 ;Pirassununga;  6 125 ;  5 521 ;  5 000 ;  9 997 ;  8 005 ;  5 409 ;  4 699 ;3539301;;;;;;;
Cachoeira de Emas;  6 772 ;   565 ;   519 ;   623 ;   351 ;   221 ;   637 ;Cachoeira de Emas;   584 ;   581 ;   443 ;   856 ;   651 ;   425 ;   316 ;353930110;;;;;;;
Pirassununga;  63 309 ;  3 703 ;  3 919 ;  4 710 ;  2 948 ;  1 951 ;  5 178 ;Pirassununga;  5 541 ;  4 940 ;  4 557 ;  9 141 ;  7 354 ;  4 984 ;  4 383 ;353930105;;;;;;;
Piratininga;  12 072 ;   671 ;   830 ;   981 ;   541 ;   347 ;   961 ;Piratininga;  1 029 ;  1 020 ;   844 ;  1 608 ;  1 450 ;   908 ;   882 ;3539400;;;;;;;
Piratininga;  12 072 ;   671 ;   830 ;   981 ;   541 ;   347 ;   961 ;Piratininga;  1 029 ;  1 020 ;   844 ;  1 608 ;  1 450 ;   908 ;   882 ;353940005;;;;;;;
Pitangueiras;  35 307 ;  2 663 ;  2 907 ;  3 222 ;  1 941 ;  1 259 ;  3 366 ;Pitangueiras;  3 479 ;  2 961 ;  2 492 ;  4 578 ;  2 958 ;  1 899 ;  1 582 ;3539509;;;;;;;
Ibitiúva;  3 722 ;   250 ;   285 ;   348 ;   211 ;   125 ;   354 ;Ibitiúva;   362 ;   291 ;   237 ;   425 ;   388 ;   237 ;   209 ;353950910;;;;;;;
Pitangueiras;  31 585 ;  2 413 ;  2 622 ;  2 874 ;  1 730 ;  1 134 ;  3 012 ;Pitangueiras;  3 117 ;  2 670 ;  2 255 ;  4 153 ;  2 570 ;  1 662 ;  1 373 ;353950905;;;;;;;
Planalto;  4 463 ;   339 ;   344 ;   342 ;   202 ;   166 ;   401 ;Planalto;   389 ;   394 ;   310 ;   632 ;   472 ;   250 ;   222 ;3539608;;;;;;;
Planalto;  4 463 ;   339 ;   344 ;   342 ;   202 ;   166 ;   401 ;Planalto;   389 ;   394 ;   310 ;   632 ;   472 ;   250 ;   222 ;353960805;;;;;;;
Platina;  3 192 ;   235 ;   251 ;   288 ;   157 ;   88 ;   255 ;Platina;   239 ;   253 ;   230 ;   429 ;   349 ;   220 ;   198 ;3539707;;;;;;;
Platina;  3 192 ;   235 ;   251 ;   288 ;   157 ;   88 ;   255 ;Platina;   239 ;   253 ;   230 ;   429 ;   349 ;   220 ;   198 ;353970705;;;;;;;
Poá;  106 013 ;  7 540 ;  8 097 ;  9 815 ;  5 753 ;  3 573 ;  9 684 ;Poá;  9 561 ;  8 983 ;  8 229 ;  14 598 ;  10 937 ;  5 709 ;  3 534 ;3539806;;;;;;;
Cidade Kemel;  5 467 ;   388 ;   460 ;   488 ;   309 ;   197 ;   548 ;Cidade Kemel;   488 ;   465 ;   420 ;   754 ;   583 ;   217 ;   150 ;353980610;;;;;;;
Poá;  100 546 ;  7 152 ;  7 637 ;  9 327 ;  5 444 ;  3 376 ;  9 136 ;Poá;  9 073 ;  8 518 ;  7 809 ;  13 844 ;  10 354 ;  5 492 ;  3 384 ;353980605;;;;;;;
Poloni;  5 395 ;   360 ;   297 ;   326 ;   222 ;   176 ;   503 ;Poloni;   479 ;   379 ;   364 ;   705 ;   603 ;   474 ;   507 ;3539905;;;;;;;
Poloni;  5 395 ;   360 ;   297 ;   326 ;   222 ;   176 ;   503 ;Poloni;   479 ;   379 ;   364 ;   705 ;   603 ;   474 ;   507 ;353990505;;;;;;;
Pompéia;  19 964 ;  1 164 ;  1 295 ;  1 584 ;   900 ;   560 ;  1 653 ;Pompéia;  1 771 ;  1 773 ;  1 459 ;  2 771 ;  2 324 ;  1 445 ;  1 265 ;3540002;;;;;;;
Novo Cravinhos;   389 ;   19 ;   30 ;   32 ;   25 ;   8 ;   27 ;Novo Cravinhos;   22 ;   26 ;   25 ;   66 ;   61 ;   32 ;   16 ;354000210;;;;;;;
Paulópolis;  1 169 ;   71 ;   90 ;   87 ;   63 ;   36 ;   99 ;Paulópolis;   97 ;   85 ;   81 ;   178 ;   122 ;   84 ;   76 ;354000215;;;;;;;
Pompéia;  18 406 ;  1 074 ;  1 175 ;  1 465 ;   812 ;   516 ;  1 527 ;Pompéia;  1 652 ;  1 662 ;  1 353 ;  2 527 ;  2 141 ;  1 329 ;  1 173 ;354000205;;;;;;;
Pongaí;  3 481 ;   157 ;   188 ;   235 ;   154 ;   103 ;   280 ;Pongaí;   268 ;   242 ;   249 ;   494 ;   489 ;   317 ;   305 ;3540101;;;;;;;
Pongaí;  3 481 ;   157 ;   188 ;   235 ;   154 ;   103 ;   280 ;Pongaí;   268 ;   242 ;   249 ;   494 ;   489 ;   317 ;   305 ;354010105;;;;;;;
Pontal;  40 244 ;  3 326 ;  3 191 ;  3 468 ;  2 006 ;  1 520 ;  4 377 ;Pontal;  4 409 ;  3 887 ;  3 097 ;  5 016 ;  3 109 ;  1 554 ;  1 284 ;3540200;;;;;;;
Cândia;  2 671 ;   232 ;   223 ;   223 ;   124 ;   106 ;   279 ;Cândia;   327 ;   239 ;   206 ;   312 ;   219 ;   90 ;   91 ;354020010;;;;;;;
Pontal;  37 573 ;  3 094 ;  2 968 ;  3 245 ;  1 882 ;  1 414 ;  4 098 ;Pontal;  4 082 ;  3 648 ;  2 891 ;  4 704 ;  2 890 ;  1 464 ;  1 193 ;354020005;;;;;;;
Pontalinda;  4 074 ;   296 ;   282 ;   310 ;   210 ;   136 ;   400 ;Pontalinda;   375 ;   337 ;   278 ;   532 ;   403 ;   297 ;   218 ;3540259;;;;;;;
Pontalinda;  4 074 ;   296 ;   282 ;   310 ;   210 ;   136 ;   400 ;Pontalinda;   375 ;   337 ;   278 ;   532 ;   403 ;   297 ;   218 ;354025905;;;;;;;
Pontes Gestal;  2 518 ;   146 ;   160 ;   199 ;   116 ;   83 ;   195 ;Pontes Gestal;   208 ;   182 ;   149 ;   365 ;   297 ;   238 ;   180 ;3540309;;;;;;;
Pontes Gestal;  2 518 ;   146 ;   160 ;   199 ;   116 ;   83 ;   195 ;Pontes Gestal;   208 ;   182 ;   149 ;   365 ;   297 ;   238 ;   180 ;354030905;;;;;;;
Populina;  4 223 ;   239 ;   242 ;   307 ;   199 ;   135 ;   322 ;Populina;   308 ;   296 ;   278 ;   583 ;   559 ;   365 ;   390 ;3540408;;;;;;;
Populina;  4 223 ;   239 ;   242 ;   307 ;   199 ;   135 ;   322 ;Populina;   308 ;   296 ;   278 ;   583 ;   559 ;   365 ;   390 ;354040805;;;;;;;
Porangaba;  8 326 ;   503 ;   588 ;   677 ;   409 ;   259 ;   615 ;Porangaba;   571 ;   606 ;   561 ;  1 143 ;  1 028 ;   807 ;   559 ;3540507;;;;;;;
Porangaba;  8 326 ;   503 ;   588 ;   677 ;   409 ;   259 ;   615 ;Porangaba;   571 ;   606 ;   561 ;  1 143 ;  1 028 ;   807 ;   559 ;354050705;;;;;;;
Porto Feliz;  48 893 ;  3 126 ;  3 409 ;  4 136 ;  2 401 ;  1 646 ;  4 369 ;Porto Feliz;  4 380 ;  3 952 ;  3 636 ;  6 925 ;  5 181 ;  3 131 ;  2 601 ;3540606;;;;;;;
Porto Feliz;  48 893 ;  3 126 ;  3 409 ;  4 136 ;  2 401 ;  1 646 ;  4 369 ;Porto Feliz;  4 380 ;  3 952 ;  3 636 ;  6 925 ;  5 181 ;  3 131 ;  2 601 ;354060605;;;;;;;
Porto Ferreira;  51 400 ;  3 347 ;  3 494 ;  3 856 ;  2 506 ;  1 623 ;  4 518 ;Porto Ferreira;  4 584 ;  4 227 ;  3 812 ;  7 287 ;  5 565 ;  3 488 ;  3 093 ;3540705;;;;;;;
Porto Ferreira;  51 400 ;  3 347 ;  3 494 ;  3 856 ;  2 506 ;  1 623 ;  4 518 ;Porto Ferreira;  4 584 ;  4 227 ;  3 812 ;  7 287 ;  5 565 ;  3 488 ;  3 093 ;354070505;;;;;;;
Potim;  19 397 ;  1 417 ;  1 420 ;  1 609 ;   925 ;   651 ;  2 298 ;Potim;  2 433 ;  1 876 ;  1 542 ;  2 280 ;  1 542 ;   909 ;   495 ;3540754;;;;;;;
Potim;  19 397 ;  1 417 ;  1 420 ;  1 609 ;   925 ;   651 ;  2 298 ;Potim;  2 433 ;  1 876 ;  1 542 ;  2 280 ;  1 542 ;   909 ;   495 ;354075405;;;;;;;
Potirendaba;  15 449 ;   906 ;   920 ;   971 ;   656 ;   516 ;  1 390 ;Potirendaba;  1 415 ;  1 221 ;  1 076 ;  2 197 ;  1 778 ;  1 201 ;  1 202 ;3540804;;;;;;;
Potirendaba;  15 449 ;   906 ;   920 ;   971 ;   656 ;   516 ;  1 390 ;Potirendaba;  1 415 ;  1 221 ;  1 076 ;  2 197 ;  1 778 ;  1 201 ;  1 202 ;354080405;;;;;;;
Pracinha;  2 858 ;   105 ;   115 ;   125 ;   85 ;   127 ;   621 ;Pracinha;   420 ;   307 ;   220 ;   282 ;   213 ;   133 ;   105 ;3540853;;;;;;;
Pracinha;  2 858 ;   105 ;   115 ;   125 ;   85 ;   127 ;   621 ;Pracinha;   420 ;   307 ;   220 ;   282 ;   213 ;   133 ;   105 ;354085305;;;;;;;
Pradópolis;  17 377 ;  1 253 ;  1 249 ;  1 359 ;   835 ;   617 ;  1 800 ;Pradópolis;  1 838 ;  1 522 ;  1 259 ;  2 262 ;  1 728 ;   967 ;   688 ;3540903;;;;;;;
Pradópolis;  17 377 ;  1 253 ;  1 249 ;  1 359 ;   835 ;   617 ;  1 800 ;Pradópolis;  1 838 ;  1 522 ;  1 259 ;  2 262 ;  1 728 ;   967 ;   688 ;354090305;;;;;;;
Praia Grande;  262 051 ;  18 774 ;  20 193 ;  22 797 ;  12 814 ;  8 085 ;  20 945 ;Praia Grande;  22 500 ;  22 052 ;  19 601 ;  33 664 ;  28 053 ;  18 920 ;  13 653 ;3541000;;;;;;;
Praia Grande;  200 725 ;  14 263 ;  15 261 ;  17 165 ;  9 679 ;  6 180 ;  16 107 ;Praia Grande;  17 588 ;  17 202 ;  15 297 ;  25 900 ;  21 469 ;  14 206 ;  10 408 ;354100005;;;;;;;
Solemar;  61 326 ;  4 511 ;  4 932 ;  5 632 ;  3 135 ;  1 905 ;  4 838 ;Solemar;  4 912 ;  4 850 ;  4 304 ;  7 764 ;  6 584 ;  4 714 ;  3 245 ;354100010;;;;;;;
Pratânia;  4 599 ;   320 ;   390 ;   442 ;   275 ;   159 ;   432 ;Pratânia;   394 ;   379 ;   353 ;   594 ;   427 ;   222 ;   212 ;3541059;;;;;;;
Pratânia;  4 599 ;   320 ;   390 ;   442 ;   275 ;   159 ;   432 ;Pratânia;   394 ;   379 ;   353 ;   594 ;   427 ;   222 ;   212 ;354105905;;;;;;;
Presidente Alves;  4 123 ;   260 ;   248 ;   329 ;   192 ;   134 ;   364 ;Presidente Alves;   328 ;   321 ;   300 ;   565 ;   488 ;   303 ;   291 ;3541109;;;;;;;
Guaricanga;  1 076 ;   78 ;   74 ;   84 ;   50 ;   46 ;   107 ;Guaricanga;   92 ;   86 ;   72 ;   160 ;   126 ;   53 ;   48 ;354110910;;;;;;;
Presidente Alves;  3 047 ;   182 ;   174 ;   245 ;   142 ;   88 ;   257 ;Presidente Alves;   236 ;   235 ;   228 ;   405 ;   362 ;   250 ;   243 ;354110905;;;;;;;
Presidente Bernardes;  13 570 ;   646 ;   786 ;   954 ;   701 ;   411 ;  1 058 ;Presidente Bernardes;  1 005 ;   942 ;   959 ;  2 087 ;  1 625 ;  1 262 ;  1 134 ;3541208;;;;;;;
Araxãs;  1 043 ;   34 ;   53 ;   65 ;   60 ;   26 ;   64 ;Araxãs;   47 ;   49 ;   74 ;   181 ;   135 ;   140 ;   115 ;354120810;;;;;;;
Nova Pátria;  1 901 ;   117 ;   135 ;   185 ;   133 ;   63 ;   144 ;Nova Pátria;   110 ;   123 ;   130 ;   296 ;   222 ;   144 ;   99 ;354120820;;;;;;;
Presidente Bernardes;  10 626 ;   495 ;   598 ;   704 ;   508 ;   322 ;   850 ;Presidente Bernardes;   848 ;   770 ;   755 ;  1 610 ;  1 268 ;   978 ;   920 ;354120805;;;;;;;
Presidente Epitácio;  41 318 ;  2 735 ;  3 044 ;  3 459 ;  2 100 ;  1 366 ;  3 451 ;Presidente Epitácio;  3 433 ;  3 369 ;  2 988 ;  5 877 ;  4 453 ;  2 764 ;  2 279 ;3541307;;;;;;;
Campinal;  2 311 ;   128 ;   190 ;   178 ;   125 ;   59 ;   175 ;Campinal;   143 ;   194 ;   164 ;   329 ;   272 ;   175 ;   179 ;354130715;;;;;;;
Presidente Epitácio;  39 007 ;  2 607 ;  2 854 ;  3 281 ;  1 975 ;  1 307 ;  3 276 ;Presidente Epitácio;  3 290 ;  3 175 ;  2 824 ;  5 548 ;  4 181 ;  2 589 ;  2 100 ;354130705;;;;;;;
Presidente Prudente;  207 610 ;  12 386 ;  13 195 ;  15 305 ;  9 831 ;  6 537 ;  17 243 ;Presidente Prudente;  17 349 ;  16 953 ;  15 832 ;  30 839 ;  23 947 ;  15 221 ;  12 972 ;3541406;;;;;;;
Ameliópolis;   561 ;   25 ;   40 ;   53 ;   27 ;   18 ;   32 ;Ameliópolis;   27 ;   46 ;   42 ;   95 ;   52 ;   48 ;   56 ;354140610;;;;;;;
Eneida;   675 ;   43 ;   57 ;   57 ;   27 ;   28 ;   55 ;Eneida;   58 ;   58 ;   50 ;   86 ;   72 ;   41 ;   43 ;354140615;;;;;;;
Floresta do Sul;  1 392 ;   76 ;   86 ;   113 ;   77 ;   35 ;   90 ;Floresta do Sul;   115 ;   94 ;   98 ;   220 ;   161 ;   120 ;   107 ;354140620;;;;;;;
Montalvão;  2 229 ;   106 ;   170 ;   170 ;   94 ;   78 ;   172 ;Montalvão;   143 ;   165 ;   162 ;   363 ;   230 ;   225 ;   151 ;354140625;;;;;;;
Presidente Prudente;  202 753 ;  12 136 ;  12 842 ;  14 912 ;  9 606 ;  6 378 ;  16 894 ;Presidente Prudente;  17 006 ;  16 590 ;  15 480 ;  30 075 ;  23 432 ;  14 787 ;  12 615 ;354140605;;;;;;;
Presidente Venceslau;  37 910 ;  2 037 ;  2 192 ;  2 755 ;  1 673 ;  1 116 ;  3 021 ;Presidente Venceslau;  3 069 ;  3 262 ;  2 949 ;  5 790 ;  4 376 ;  2 965 ;  2 705 ;3541505;;;;;;;
Presidente Venceslau;  37 910 ;  2 037 ;  2 192 ;  2 755 ;  1 673 ;  1 116 ;  3 021 ;Presidente Venceslau;  3 069 ;  3 262 ;  2 949 ;  5 790 ;  4 376 ;  2 965 ;  2 705 ;354150505;;;;;;;
Promissão;  35 674 ;  2 404 ;  2 573 ;  2 842 ;  1 847 ;  1 209 ;  3 016 ;Promissão;  2 950 ;  2 909 ;  2 675 ;  4 925 ;  3 713 ;  2 563 ;  2 048 ;3541604;;;;;;;
Promissão;  35 273 ;  2 385 ;  2 540 ;  2 808 ;  1 828 ;  1 196 ;  2 992 ;Promissão;  2 927 ;  2 877 ;  2 648 ;  4 887 ;  3 652 ;  2 514 ;  2 019 ;354160405;;;;;;;
Santa Maria do Gurupá;   401 ;   19 ;   33 ;   34 ;   19 ;   13 ;   24 ;Santa Maria do Gurupá;   23 ;   32 ;   27 ;   38 ;   61 ;   49 ;   29 ;354160410;;;;;;;
Quadra;  3 236 ;   238 ;   240 ;   260 ;   158 ;   99 ;   219 ;Quadra;   262 ;   238 ;   240 ;   480 ;   365 ;   261 ;   176 ;3541653;;;;;;;
Quadra;  3 236 ;   238 ;   240 ;   260 ;   158 ;   99 ;   219 ;Quadra;   262 ;   238 ;   240 ;   480 ;   365 ;   261 ;   176 ;354165305;;;;;;;
Quatá;  12 799 ;   900 ;   926 ;  1 066 ;   684 ;   441 ;  1 082 ;Quatá;  1 054 ;  1 058 ;  1 005 ;  1 766 ;  1 302 ;   801 ;   714 ;3541703;;;;;;;
Quatá;  12 799 ;   900 ;   926 ;  1 066 ;   684 ;   441 ;  1 082 ;Quatá;  1 054 ;  1 058 ;  1 005 ;  1 766 ;  1 302 ;   801 ;   714 ;354170305;;;;;;;
Queiroz;  2 808 ;   208 ;   257 ;   274 ;   144 ;   90 ;   231 ;Queiroz;   252 ;   250 ;   211 ;   340 ;   230 ;   174 ;   147 ;3541802;;;;;;;
Queiroz;  2 808 ;   208 ;   257 ;   274 ;   144 ;   90 ;   231 ;Queiroz;   252 ;   250 ;   211 ;   340 ;   230 ;   174 ;   147 ;354180205;;;;;;;
Queluz;  11 309 ;   790 ;   935 ;   917 ;   581 ;   371 ;  1 014 ;Queluz;  1 045 ;  1 002 ;   862 ;  1 511 ;  1 097 ;   639 ;   545 ;3541901;;;;;;;
Queluz;  11 309 ;   790 ;   935 ;   917 ;   581 ;   371 ;  1 014 ;Queluz;  1 045 ;  1 002 ;   862 ;  1 511 ;  1 097 ;   639 ;   545 ;354190105;;;;;;;
Quintana;  6 004 ;   354 ;   398 ;   486 ;   309 ;   171 ;   527 ;Quintana;   505 ;   483 ;   469 ;   791 ;   639 ;   477 ;   395 ;3542008;;;;;;;
Quintana;  6 004 ;   354 ;   398 ;   486 ;   309 ;   171 ;   527 ;Quintana;   505 ;   483 ;   469 ;   791 ;   639 ;   477 ;   395 ;354200805;;;;;;;
Rafard;  8 612 ;   556 ;   629 ;   669 ;   409 ;   276 ;   784 ;Rafard;   789 ;   715 ;   626 ;  1 215 ;   851 ;   555 ;   538 ;3542107;;;;;;;
