Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Araraquara;  502 149 ;  30 443 ;  31 865 ;  37 718 ;  23 760 ;  16 588 ;  45 538 ;Araraquara;  45 575 ;  42 373 ;  37 622 ;  71 361 ;  55 661 ;  34 222 ;  29 423 ;35024;;;;;;;
Assis;  263 861 ;  16 597 ;  17 315 ;  20 525 ;  13 027 ;  8 406 ;  22 584 ;Assis;  21 740 ;  20 886 ;  19 462 ;  37 586 ;  29 545 ;  19 483 ;  16 705 ;35039;;;;;;;
Auriflama;  46 367 ;  2 665 ;  2 806 ;  3 258 ;  2 202 ;  1 537 ;  4 022 ;Auriflama;  3 820 ;  3 499 ;  3 314 ;  6 696 ;  5 439 ;  3 853 ;  3 256 ;35006;;;;;;;
Avaré;  178 434 ;  12 264 ;  13 084 ;  15 077 ;  9 244 ;  6 011 ;  15 507 ;Avaré;  15 326 ;  14 921 ;  13 386 ;  23 806 ;  18 829 ;  11 467 ;  9 512 ;35022;;;;;;;
Bananal;  26 281 ;  1 817 ;  2 064 ;  2 432 ;  1 352 ;   865 ;  2 077 ;Bananal;  1 983 ;  1 964 ;  1 851 ;  3 551 ;  2 702 ;  1 893 ;  1 730 ;35052;;;;;;;
Barretos;  135 466 ;  8 211 ;  8 681 ;  10 104 ;  6 536 ;  4 443 ;  12 003 ;Barretos;  11 947 ;  10 978 ;  9 944 ;  19 096 ;  15 129 ;  9 966 ;  8 428 ;35009;;;;;;;
Batatais;  106 345 ;  6 526 ;  7 223 ;  8 637 ;  5 589 ;  3 560 ;  9 067 ;Batatais;  8 977 ;  8 354 ;  7 279 ;  14 386 ;  12 032 ;  7 773 ;  6 942 ;35015;;;;;;;
Bauru;  561 705 ;  34 262 ;  37 289 ;  43 308 ;  26 665 ;  18 152 ;  50 285 ;Bauru;  51 237 ;  47 252 ;  41 739 ;  77 344 ;  62 130 ;  38 343 ;  33 699 ;35020;;;;;;;
Birigui;  257 531 ;  15 823 ;  16 095 ;  19 195 ;  12 386 ;  8 159 ;  21 887 ;Birigui;  22 134 ;  20 764 ;  19 950 ;  37 080 ;  29 037 ;  19 103 ;  15 918 ;35018;;;;;;;
Botucatu;  207 410 ;  13 549 ;  14 563 ;  16 899 ;  10 120 ;  6 579 ;  17 474 ;Botucatu;  17 776 ;  17 127 ;  15 284 ;  27 766 ;  22 770 ;  14 582 ;  12 921 ;35023;;;;;;;
