Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
350030305000029;1;25;1;0;9;0;19;0;0;14;0
350030305000030;1;26;5;0;17;0;29;2;0;24;0
350030305000031;1;11;0;0;0;0;6;0;0;0;0
350030305000032;1;15;1;0;1;0;14;2;0;2;0
350030305000033;1;16;1;0;3;0;12;1;0;2;0
350030305000034;1;18;2;0;7;0;18;1;0;10;0
350030305000035;1;24;0;0;5;0;26;0;0;5;0
350030305000036;3;18;0;0;9;0;14;0;0;6;0
350030305000038;8;16;1;0;6;0;19;0;0;4;0
350030305000039;8;8;0;0;1;0;12;1;1;2;0
350030305000040;8;10;0;0;2;0;12;0;0;5;0
350030305000041;8;17;0;1;7;0;16;0;0;5;0
350030305000042;8;13;0;0;5;0;9;0;0;3;0
350030305000043;8;4;4;0;4;0;2;1;0;4;0
350030305000044;8;16;0;0;2;0;12;0;0;3;0
350030305000045;8;6;1;1;2;0;7;1;0;0;0
350030305000046;1;10;1;0;1;0;12;2;0;1;0
350030305000047;1;20;0;0;5;0;13;1;0;1;0
350030305000048;1;24;1;0;11;0;20;3;0;5;0
350030305000049;1;15;0;0;6;0;15;1;0;4;0
350030305000050;1;22;2;0;30;0;28;5;0;23;0
350030305000051;3;9;0;0;8;0;7;0;0;11;0
350030305000052;2;23;0;0;35;0;24;0;0;27;0
350040205000001;1;2;0;0;0;0;5;0;0;0;0
350040205000002;1;14;0;0;7;0;15;0;0;2;0
350040205000003;1;10;0;0;1;0;3;0;0;2;0
350040205000004;1;8;0;0;2;0;1;0;0;1;0
350040205000005;1;8;0;0;3;0;4;1;0;1;0
350040205000006;1;13;0;0;2;0;14;0;0;2;0
350040205000007;1;17;0;0;1;0;21;1;0;2;0
350040205000008;1;11;0;0;1;0;12;0;0;0;0
350040205000010;1;6;0;0;1;0;4;1;0;0;0
350040205000011;1;11;0;0;6;0;13;0;0;4;0
350040205000013;3;9;2;0;3;0;6;1;0;4;0
350040205000014;8;1;X;X;X;X;X;X;X;X;X
350040205000015;8;5;0;0;0;0;3;0;0;0;0
350040205000016;8;1;0;0;1;0;4;0;0;2;0
350040205000017;8;5;0;0;1;0;8;0;0;1;0
350040205000018;8;1;X;X;X;X;X;X;X;X;X
350040210000001;1;12;0;0;4;0;18;0;0;6;0
350040210000002;3;15;1;0;10;0;22;0;0;16;0
350040210000003;3;0;X;X;X;X;X;X;X;X;X
350040210000004;8;1;X;X;X;X;X;X;X;X;X
350040210000005;8;5;0;0;0;0;8;0;0;2;0
350050105000001;1;12;0;0;0;0;12;0;0;1;0
350050105000002;1;14;0;0;0;0;16;0;0;1;0
350050105000003;2;17;0;0;0;0;16;1;0;3;0
350050105000005;1;12;0;0;3;0;19;1;0;3;0
350050105000006;1;18;0;0;1;0;15;1;0;2;0
350050105000007;1;17;0;0;2;0;11;0;0;1;0
350050105000008;1;12;0;0;0;0;10;0;0;0;0
350050105000009;1;5;0;0;1;0;13;0;0;3;1
350050105000010;2;20;0;0;4;0;18;0;0;0;0
350050105000011;2;16;0;0;0;0;14;0;0;0;0
350050105000012;2;22;0;0;3;0;20;0;0;1;0
350050105000013;2;5;0;0;0;0;5;0;0;0;0
350050105000014;2;20;0;0;4;0;20;2;0;7;0
350050105000015;2;43;0;0;7;0;28;2;0;10;0
350050105000016;2;19;0;0;5;0;13;0;0;2;0
350050105000017;1;14;0;0;1;0;17;0;0;3;0
350050105000018;2;20;0;0;2;0;20;1;0;4;0
350050105000019;2;25;1;0;1;0;26;0;0;2;0
350050105000020;2;25;2;0;7;0;20;1;0;4;0
350050105000021;8;1;0;0;0;0;0;0;0;0;0
350050105000022;8;2;0;0;0;0;2;0;0;0;0
350050105000024;1;15;0;2;0;0;19;1;0;0;0
350050105000025;1;12;0;0;1;0;17;0;0;1;0
350050105000026;1;13;1;0;0;0;13;0;1;0;0
350050105000027;2;12;1;0;0;0;9;0;0;0;0
350050105000028;2;20;2;0;4;0;19;0;0;1;0
350050105000029;1;15;0;0;2;0;6;0;0;3;0
350050105000030;2;28;0;0;3;0;19;0;0;2;0
350055005000001;1;14;0;1;2;0;10;0;1;2;0
350055005000002;1;8;0;0;2;0;20;0;1;1;0
350055005000003;1;10;0;0;0;0;5;1;0;2;0
350055005000004;1;21;0;0;1;0;18;0;0;5;0
350055005000005;1;28;0;0;3;0;20;0;0;5;0
350055005000006;1;13;0;0;2;0;9;1;0;2;0
350055005000007;1;13;0;0;2;0;8;0;0;2;0
350055005000008;3;1;0;0;0;0;1;0;0;0;0
350055005000009;3;11;1;0;2;0;7;1;0;3;0
350055005000012;3;0;X;X;X;X;X;X;X;X;X
350055005000013;3;0;X;X;X;X;X;X;X;X;X
350055005000014;3;0;0;0;0;0;1;0;0;0;0
350055005000015;3;0;X;X;X;X;X;X;X;X;X
350055005000016;8;12;0;0;3;0;13;0;0;1;0
350055005000017;8;16;0;0;6;0;14;1;1;6;0
350055005000018;8;0;0;0;0;0;2;0;0;0;0
350055005000019;8;6;0;0;3;0;7;0;0;0;0
350055005000021;8;7;1;0;2;0;6;0;0;0;0
350060005000001;1;11;0;0;1;0;13;0;0;1;0
350060005000002;1;7;0;0;0;0;9;0;0;1;0
350060005000003;1;8;1;0;1;0;13;0;0;1;0
350060005000004;1;10;0;0;0;0;2;0;0;0;0
350060005000005;1;7;0;0;0;0;2;0;0;1;0
350060005000006;1;9;0;0;1;0;6;1;0;2;0
350060005000007;1;5;0;0;1;0;2;0;0;0;0
350070905000001;1;10;0;0;1;0;9;0;0;1;0
350070905000002;1;18;1;0;2;0;23;0;0;2;0
350070905000003;1;8;0;0;0;0;14;1;0;1;0
350070905000004;1;7;0;0;1;0;11;0;0;3;0
350070905000005;1;13;1;0;5;0;16;0;0;3;0
350070905000006;1;15;0;0;7;0;9;0;0;2;0
350070905000007;1;23;1;0;6;0;15;0;0;5;0
350070905000008;1;19;0;0;11;0;29;0;0;9;0
350070905000009;2;11;0;0;10;0;10;1;0;6;0
350070905000010;1;18;0;0;7;0;20;0;0;6;0
350070905000011;1;17;0;1;2;0;28;0;0;2;0
350070905000012;1;20;0;0;17;0;26;1;0;13;0
350070905000013;1;30;5;0;24;0;28;4;0;22;0
350070905000014;1;7;0;0;6;0;4;0;0;5;0
350070905000015;1;20;0;0;3;0;12;1;0;1;0
350070905000016;1;14;1;1;7;0;15;0;0;2;0
350070905000017;1;18;0;0;3;0;9;0;0;2;0
350070905000018;1;15;0;0;8;0;24;1;0;11;0
350070905000019;1;28;1;0;8;0;33;1;1;12;0
350070905000020;1;17;1;0;0;0;16;0;0;2;0
350070905000021;1;35;1;0;15;0;26;1;0;15;0
350070905000022;1;9;1;2;8;0;22;0;0;13;0
350070905000023;1;23;0;0;19;0;30;2;0;17;0
350070905000024;1;26;0;0;0;0;20;0;0;0;0
350070905000025;1;8;0;0;4;0;7;0;0;6;0
350070905000026;1;31;2;1;19;0;25;2;1;24;0
350070905000027;1;29;0;0;8;0;31;1;0;4;0
350070905000028;1;9;0;0;0;0;11;0;0;4;0
350070905000029;1;27;2;0;17;0;27;0;0;13;0
350070905000030;1;25;0;0;11;1;17;1;0;17;1
350070905000031;1;32;0;0;11;0;20;0;1;4;0
350070905000032;1;28;1;0;26;0;31;1;0;23;0
350070905000033;1;22;0;0;5;0;11;1;0;3;0
350070905000034;1;22;1;0;21;0;25;1;0;19;0
350070905000035;1;19;0;0;7;0;20;0;0;7;0
350070905000036;3;4;0;0;1;0;4;0;0;0;0
350070905000037;3;0;0;0;0;0;1;0;0;0;0
350070905000038;8;8;0;0;2;0;5;0;0;1;0
350070905000039;8;2;0;0;0;0;0;0;0;0;0
350070905000040;8;0;0;0;0;0;0;0;0;0;0
350070905000041;8;9;0;0;3;0;4;0;0;12;0
350070905000042;1;9;0;0;5;0;11;0;0;1;0
350070905000043;1;15;0;0;2;0;14;0;0;1;0
350070905000044;1;10;1;0;4;0;8;2;0;8;0
350070905000045;1;15;0;0;9;0;15;0;0;7;0
350070905000046;1;25;1;0;13;0;29;3;0;14;0
350070905000047;8;1;0;0;3;0;1;0;0;0;0
350070910000001;1;18;0;0;1;0;15;0;0;3;0
350070910000002;8;6;0;0;2;0;13;0;0;8;0
350070910000003;8;7;0;0;4;0;7;2;0;2;0
350075805000001;1;24;0;0;4;0;27;0;0;5;0
350075805000002;1;20;0;0;9;0;18;0;0;8;0
350075805000003;3;2;0;0;0;0;0;0;0;1;0
350075805000004;3;16;0;0;2;0;18;0;0;2;0
350075805000005;8;6;0;0;0;0;6;0;0;0;0
350075805000006;8;2;0;0;0;0;8;0;0;1;0
350075805000007;8;8;0;0;4;0;6;0;0;5;0
350075805000008;1;13;0;0;2;0;8;2;0;2;0
350075805000009;1;0;X;X;X;X;X;X;X;X;X
350075805000010;1;25;0;0;11;0;26;0;0;8;0
350075805000011;1;3;0;0;0;0;1;0;0;0;0
350075805000012;1;0;X;X;X;X;X;X;X;X;X
350075805000013;1;3;0;0;0;0;0;0;0;0;0
350075805000014;1;4;0;0;0;0;2;0;0;1;0
350075805000015;8;15;0;0;4;0;13;0;0;7;0
350075805000016;3;2;0;0;1;0;1;0;0;1;0
350080805000001;1;8;0;0;2;0;9;0;0;0;0
350080805000002;1;12;0;0;2;0;13;0;0;1;0
350080805000003;1;11;0;3;2;0;5;0;7;2;0
350080805000004;1;3;0;0;1;0;4;1;0;2;0
350080805000005;1;11;1;0;8;0;15;0;0;7;0
350080805000006;2;18;0;1;3;0;14;0;0;4;0
350080805000007;2;1;0;0;0;0;1;0;0;0;0
350080805000008;2;0;0;0;0;0;2;0;0;0;0
350080805000009;8;1;0;0;0;0;1;0;0;0;0
350080805000010;8;2;0;0;0;0;0;0;0;0;0
350080805000011;8;3;0;0;0;0;0;0;0;0;0
350080805000012;8;1;0;0;0;0;1;0;0;0;0
350080805000013;8;0;0;0;1;0;0;0;0;1;0
350090705000001;1;9;3;0;10;0;19;0;0;5;0
350090705000002;1;24;2;0;17;0;25;1;0;13;0
350090705000003;1;20;3;0;8;0;22;0;0;9;0
350090705000004;8;10;0;0;6;0;17;0;0;3;0
350090705000006;1;5;2;0;0;0;1;0;0;1;0
350090715000001;1;14;0;0;10;0;7;1;0;2;0
350090715000002;8;8;0;0;4;0;7;0;1;2;0
350100405000001;1;10;1;0;2;0;13;0;0;1;0
350100405000002;1;6;0;0;2;0;9;0;0;3;0
350100405000003;1;1;0;0;0;0;5;0;0;1;0
350100405000004;1;0;X;X;X;X;X;X;X;X;X
350100405000005;1;9;3;0;3;0;9;2;0;3;0
350100405000006;1;14;1;0;5;0;17;2;0;5;0
350100405000007;1;22;0;1;9;0;16;1;0;6;0
350100405000008;1;12;1;0;2;0;15;0;0;5;0
350100405000009;1;8;1;0;5;0;16;0;0;6;0
350100405000010;1;28;2;0;15;0;27;0;0;12;0
350100405000011;1;8;0;1;3;0;11;0;0;0;0
350100405000012;1;12;0;0;7;0;8;0;0;2;0
350100405000013;1;16;0;0;7;0;14;0;0;2;0
350100405000014;1;17;0;0;5;0;17;1;0;5;0
350100405000015;1;9;0;0;5;0;14;0;0;0;0
350100405000016;1;13;1;0;1;0;15;0;0;3;0
350100405000017;1;11;2;0;8;0;13;2;0;5;0
350100405000018;1;4;0;0;2;0;0;0;0;5;0
350100405000019;1;7;1;0;3;0;4;1;0;1;0
350100405000020;1;0;X;X;X;X;X;X;X;X;X
350100405000021;1;0;X;X;X;X;X;X;X;X;X
350100405000022;1;14;5;0;8;0;14;0;0;5;0
350100405000023;8;0;0;0;1;0;4;0;0;0;0
350100405000024;8;10;1;2;2;0;12;1;0;4;0
350100405000025;8;10;1;0;8;0;5;0;0;4;0
350100405000026;8;14;0;0;3;0;9;0;0;4;0
350100405000027;8;6;1;0;0;0;1;1;0;2;0
350100405000028;8;5;0;0;4;0;7;0;0;5;0
350100405000029;8;4;0;0;0;0;6;0;0;3;0
350100405000030;8;0;X;X;X;X;X;X;X;X;X
350100405000031;1;17;1;0;7;0;10;0;0;2;0
350100405000032;1;24;2;0;8;0;23;0;0;5;0
350110305000001;1;22;1;0;11;0;17;5;0;8;0
350110305000002;1;11;0;0;1;0;6;0;0;1;0
350110305000003;1;6;0;0;2;0;3;0;0;5;0
350110305000004;1;12;0;0;3;0;14;0;0;7;0
350110305000005;3;1;X;X;X;X;X;X;X;X;X
350110305000006;8;1;X;X;X;X;X;X;X;X;X
350110305000007;8;5;0;0;0;0;4;0;0;0;0
350110305000008;8;3;0;0;0;0;4;0;0;1;0
350110305000009;8;2;0;0;1;0;3;0;0;0;0
350110305000010;8;0;0;0;0;0;2;0;0;0;0
350110310000001;1;9;1;1;2;0;10;2;0;3;0
350110310000002;8;0;0;0;0;0;3;0;0;1;0
350110315000001;1;2;0;0;5;0;5;1;0;3;0
350110315000002;8;2;0;0;0;0;5;0;0;0;0
350115205000001;1;16;1;0;3;0;21;0;0;3;0
350115205000002;1;27;0;0;10;0;25;0;0;8;0
350115205000003;1;14;1;0;17;0;20;1;0;16;0
350115205000004;1;15;0;0;5;0;14;0;0;3;0
350115205000005;1;12;1;0;6;0;14;1;0;5;0
350115205000006;1;22;1;0;14;0;21;1;0;8;0
350115205000007;1;8;0;0;5;0;14;1;0;7;0
350115205000008;1;9;0;0;2;0;22;1;0;5;0
350115205000009;1;34;0;0;12;0;24;1;0;10;0
350115205000010;1;25;1;0;10;0;18;1;0;8;0
350115205000011;1;28;1;0;19;0;28;1;0;14;0
350115205000012;1;28;1;0;22;0;24;0;0;22;0
350115205000013;1;9;0;0;4;0;19;1;0;8;0
350115205000014;3;2;X;X;X;X;X;X;X;X;X
350115205000015;3;0;X;X;X;X;X;X;X;X;X
350115205000017;3;23;0;0;6;0;23;1;0;7;0
350115205000018;8;10;0;0;1;0;6;0;0;2;0
350115205000019;8;30;2;0;23;0;26;3;1;10;0
350115205000020;1;12;1;0;8;0;9;0;0;3;0
350115205000021;1;13;0;0;4;0;8;0;0;9;0
350115205000022;1;18;2;0;7;0;21;2;1;10;0
350115205000023;1;8;1;0;9;0;13;2;0;6;0
350115205000024;3;4;0;0;8;0;13;0;0;2;0
350115205000025;8;30;2;0;17;0;28;0;0;16;0
350120205000001;1;12;0;0;4;0;13;0;0;4;0
350120205000002;1;5;0;0;0;0;11;0;0;3;0
350120205000003;1;0;X;X;X;X;X;X;X;X;X
350120205000004;8;4;X;X;X;X;X;X;X;X;X
350120205000005;8;6;0;0;0;0;5;0;0;0;0
350120205000006;8;4;0;0;1;0;3;0;0;1;0
350120205000007;8;6;0;0;0;0;3;0;0;0;0
350120205000008;1;12;0;0;4;0;11;0;0;6;0
350120205000009;1;10;0;0;5;0;8;0;0;2;0
350120210000001;1;6;0;0;2;0;3;0;0;0;0
350120210000002;8;5;X;X;X;X;X;X;X;X;X
350120210000004;8;0;X;X;X;X;X;X;X;X;X
350130105000001;1;8;0;1;1;0;7;1;0;0;0
350130105000002;1;18;0;0;4;0;17;0;0;4;0
350130105000003;1;13;0;0;2;0;20;1;0;5;0
350130105000004;1;29;4;2;20;0;35;2;0;15;0
350130105000005;1;11;1;0;11;0;17;1;2;5;0
350130105000006;1;16;0;0;3;0;17;0;0;4;0
350130105000007;1;17;1;0;11;0;13;0;0;8;0
350130105000008;1;31;1;0;11;0;32;2;0;13;0
350130105000009;1;15;1;0;3;0;18;2;0;1;1
350130105000010;1;23;0;0;9;0;11;1;1;5;0
350130105000011;1;13;0;3;4;0;17;1;0;6;0
350130105000012;2;21;0;0;7;0;15;1;0;4;0
350130105000013;1;20;8;0;19;0;15;3;0;22;0
350130105000014;1;8;2;0;8;0;19;2;0;10;0
350130105000015;1;17;0;0;9;0;26;0;1;14;0
350130105000016;1;10;0;0;11;0;14;0;0;15;0
350130105000017;1;19;0;0;21;0;14;0;0;16;0
350130105000019;1;12;1;0;12;0;13;1;0;20;0
350130105000020;1;15;1;0;21;0;13;2;0;18;0
350130105000021;2;5;0;0;1;0;6;0;0;0;0
350130105000022;2;15;1;2;10;0;17;0;0;8;0
350130105000023;1;25;0;1;4;0;27;0;2;7;0
350130105000024;1;11;0;4;1;0;9;0;0;0;0
350130105000025;1;17;0;1;5;0;12;0;2;5;0
350130105000026;1;4;1;0;8;0;11;3;0;7;0
350130105000027;8;2;0;0;3;0;3;0;0;4;0
350130105000028;8;1;0;0;0;0;0;0;1;1;0
350130105000029;8;5;0;0;0;0;8;0;0;0;0
350130105000030;8;8;0;0;3;0;7;0;0;3;0
350130105000031;8;9;0;0;3;0;6;0;0;2;0
350130110000001;1;7;0;0;8;0;15;0;0;6;0
350130110000002;8;5;0;0;1;0;3;0;0;4;0
350130110000003;8;1;0;0;1;0;3;0;0;0;0
350130110000004;8;2;0;0;1;0;0;0;0;1;0
350140005000001;1;11;3;0;4;0;12;4;0;11;0
350140005000002;1;17;4;0;7;0;23;5;0;4;0
350140005000003;1;28;1;0;9;0;30;0;0;18;0
350140005000004;1;5;0;0;5;0;6;0;0;4;0
350140005000005;1;6;3;0;4;0;1;2;2;7;0
350140005000006;8;0;0;0;0;0;2;0;0;0;0
350140005000007;8;0;0;0;5;0;2;0;0;1;0
350140005000008;8;1;0;0;1;0;2;0;0;1;0
350140005000009;8;1;0;0;3;0;3;0;0;2;0
350150905000001;1;19;2;0;10;0;30;4;0;7;0
350150905000002;1;13;2;0;12;0;18;2;0;15;0
350150905000003;1;20;0;0;7;0;14;1;0;9;0
350150905000004;1;2;0;0;3;0;6;0;0;6;0
350150905000005;8;4;0;0;1;0;7;0;0;0;0
350150905000007;8;2;0;0;1;0;1;0;0;3;0
350160805000001;1;2;0;0;2;0;6;0;1;1;0
350160805000002;1;9;0;0;0;0;11;0;0;1;0
350160805000003;1;6;0;0;0;0;13;0;1;2;0
350160805000004;1;5;0;1;1;0;4;0;0;2;0
350160805000005;1;14;0;0;3;0;20;0;0;0;0
350160805000006;1;14;0;0;0;0;7;0;0;2;0
350160805000007;1;16;1;0;1;0;8;0;0;0;0
350160805000008;1;9;0;1;0;0;14;1;0;1;0
350160805000009;1;7;0;0;1;0;6;0;0;1;0
350160805000010;1;7;0;0;0;0;5;0;0;0;0
350160805000011;1;13;0;0;0;0;17;0;0;0;0
350160805000012;1;13;0;0;0;0;5;0;0;0;0
350160805000013;1;7;0;0;0;0;7;0;0;0;0
350160805000014;1;11;0;0;0;0;18;0;0;1;0
350160805000015;1;11;0;0;3;0;7;0;1;2;0
350160805000016;1;6;0;0;0;0;9;0;0;0;0
350160805000017;1;15;0;0;0;0;10;0;0;0;0
350160805000018;1;8;0;0;0;0;13;0;0;2;0
350160805000019;1;15;2;0;2;0;11;0;0;6;0
350160805000020;1;10;0;0;1;0;3;0;0;2;0
350160805000021;1;17;0;0;3;0;15;0;0;3;0
350160805000022;1;12;0;0;3;0;13;0;0;2;0
350160805000023;1;18;0;0;2;0;19;0;0;4;0
350160805000024;1;8;0;1;0;0;14;0;0;0;0
350160805000025;1;8;0;0;2;0;8;0;0;0;0
350160805000026;1;10;0;0;0;0;10;0;0;1;0
350160805000027;1;37;0;0;2;0;26;0;0;0;0
350160805000028;1;14;1;0;3;0;12;0;0;7;0
350160805000029;1;10;0;0;1;0;12;0;1;1;0
350160805000030;1;10;1;0;1;0;10;0;0;2;0
350160805000031;1;6;0;0;1;0;15;0;0;1;0
350160805000032;1;13;2;0;1;0;6;0;0;2;0
350160805000033;1;5;0;0;4;0;9;0;0;0;0
350160805000034;1;11;0;2;1;0;15;0;2;0;0
350160805000035;1;9;0;0;0;0;8;0;0;0;0
350160805000036;1;4;0;0;0;0;16;0;0;1;0
350160805000037;1;6;0;0;1;0;7;0;0;1;0
350160805000038;1;7;0;0;2;0;8;0;0;1;0
350160805000039;1;10;0;0;1;0;5;0;0;1;0
350160805000040;1;8;0;0;0;0;8;0;0;0;0
350160805000041;1;6;0;0;1;0;8;0;0;1;0
350160805000042;1;14;0;0;0;0;6;0;0;1;0
350160805000043;1;3;0;0;0;0;4;0;0;0;0
350160805000044;1;6;0;0;0;0;3;0;0;0;0
350160805000045;1;11;0;0;4;0;13;1;0;0;0
350160805000046;1;22;0;0;2;0;20;0;1;1;0
350160805000047;1;15;0;0;1;0;4;0;0;0;0
350160805000048;1;19;0;0;4;0;20;1;0;1;0
350160805000049;1;0;X;X;X;X;X;X;X;X;X
350160805000050;1;36;0;0;3;0;36;0;2;7;0
350160805000051;1;39;0;0;3;0;35;0;0;2;0
350160805000052;1;12;0;0;1;0;21;0;0;1;0
350160805000053;1;16;0;0;3;0;16;0;0;3;0
350160805000054;1;17;0;0;3;0;11;0;0;5;0
350160805000055;1;14;0;0;5;0;16;0;0;3;0
350160805000056;1;12;0;0;2;0;10;0;0;2;0
350160805000057;1;9;1;1;4;0;11;0;0;4;0
350160805000058;1;11;0;1;6;0;11;0;0;6;0
350160805000059;1;7;2;0;4;0;15;0;0;3;0
350160805000060;1;15;0;0;1;0;9;1;0;0;0
350160805000061;1;18;0;0;2;0;19;0;0;2;0
350160805000062;1;35;1;0;2;0;32;1;0;4;0
350160805000063;1;10;3;0;3;0;13;0;0;5;0
350160805000064;1;15;0;0;2;0;14;0;0;1;0
350160805000065;1;16;0;0;0;0;17;0;0;3;0
350160805000066;1;29;0;0;2;0;13;0;1;2;0
350160805000067;1;8;0;0;3;0;16;0;0;7;0
350160805000068;1;17;1;0;5;0;19;0;0;7;0
350160805000069;1;19;0;0;0;0;22;0;1;0;0
350160805000070;1;22;0;0;5;0;22;1;0;8;0
