lon;lat;MacroZona
-45,9055449;-23,2702638;Sul
-45,9054049;-23,2639455;Sul
-45,894731;-23,272056;Sul
-45,8999494;-23,2691937;Sul
-45,891669;-23,270005;Sul
-45,9034139;-23,2728559;Sul
-45,8974028;-23,2703697;Sul
-45,8997355;-23,2689942;Sul
-45,8904582;-23,2695881;Sul
-45,9002901;-23,2739322;Sul
-45,898929;-23,2556292;Sul
-45,8983693;-23,2567878;Sul
-45,8980813;-23,2626873;Sul
-45,8891908;-23,2395933;Sul
-45,8865237;-23,2394064;Sul
-45,8859772;-23,244069;Sul
-45,8828787;-23,2380421;Sul
-45,8867374;-23,249323;Sul
-45,884401;-23,241135;Sul
-45,8852476;-23,239867;Sul
-45,8883748;-23,2380919;Sul
-45,8917302;-23,2588458;Sul
-45,8872237;-23,2602823;Sul
-45,8875694;-23,2808948;Sul
-45,8940569;-23,2788639;Sul
-45,8923736;-23,2771277;Sul
-45,888095;-23,275853;Sul
-45,8911151;-23,282077;Sul
-45,8976206;-23,2825904;Sul
-45,8951771;-23,2812549;Sul
-45,8911585;-23,2865391;Sul
-45,9159225;-23,2224728;Oeste
-45,9151;-23,231005;Oeste
-45,9224942;-23,229276;Oeste
-45,9146887;-23,2324143;Oeste
-45,9238335;-23,2324488;Oeste
-45,9192854;-23,2299192;Oeste
-45,9188121;-23,2289076;Oeste
-45,923915;-23,2290304;Oeste
-45,9237851;-23,2292295;Oeste
-45,916506;-23,2289224;Oeste
-45,9259388;-23,2300576;Oeste
-45,9032122;-23,2164532;Oeste
-45,905179;-23,2177599;Oeste
-45,9070884;-23,2201117;Oeste
-45,9046359;-23,2161662;Oeste
-45,9325508;-23,2414749;Oeste
-45,9244798;-23,2324936;Oeste
-45,9234848;-23,2330113;Oeste
-45,9216124;-23,2313788;Oeste
-45,910235;-23,25379;Sul
-45,9070508;-23,2402822;Sul
-45,9154915;-23,2545184;Sul
-45,917214;-23,247539;Sul
-45,9162374;-23,245977;Sul
-45,9101435;-23,2387513;Sul
-45,9179005;-23,2479841;Sul
-45,917686;-23,2448344;Sul
-45,914326;-23,2483515;Sul
-45,9132381;-23,2459015;Sul
-45,9132799;-23,2477857;Sul
-45,9105697;-23,2433965;Sul
-45,8946357;-23,2222744;Sul
-45,8959033;-23,2206653;Sul
-45,9021663;-23,2350835;Sul
-45,9085983;-23,2344322;Sul
-45,8992161;-23,2246611;Sul
-45,9043635;-23,2344871;Sul
-45,9002556;-23,234443;Sul
-45,9063582;-23,2371537;Sul
-45,9002089;-23,2313101;Sul
-45,902596;-23,228589;Sul
-45,9009074;-23,223701;Sul
-45,9007381;-23,2313575;Sul
-45,9024942;-23,2271748;Sul
-45,9084278;-23,2354833;Sul
-45,9035128;-23,2503438;Sul
-45,9072719;-23,2503931;Sul
-45,9075411;-23,2511333;Sul
-45,9093191;-23,2566525;Sul
-45,9002182;-23,2511847;Sul
-45,9052157;-23,2504658;Sul
-45,8990315;-23,2313259;Sul
-45,8992663;-23,2311141;Sul
-45,8983674;-23,2330151;Sul
-45,8815777;-23,2404034;Sul
-45,8932567;-23,2425454;Sul
-45,8960294;-23,242534;Sul
-45,8991716;-23,2389634;Sul
-45,900645;-23,241004;Sul
-45,896805;-23,243843;Sul
-45,8922863;-23,2438021;Sul
-45,9021799;-23,2420686;Sul
-45,8995242;-23,2388412;Sul
-45,8986855;-23,2409317;Sul
-45,909063;-23,1373117;Norte
-45,9109426;-23,1344602;Norte
-45,9026796;-23,1405638;Norte
-45,9200513;-23,1437537;Norte
-45,902391;-23,1507118;Norte
-45,9000373;-23,1517537;Norte
-45,9030436;-23,1500163;Norte
-45,9005859;-23,151362;Norte
-45,9056505;-23,1562949;Norte
-45,904785;-23,151974;Norte
-45,9101154;-23,1652195;Norte
-45,9089179;-23,167327;Norte
-45,9098792;-23,1608968;Norte
-45,9098312;-23,1596777;Norte
-45,9078989;-23,1599357;Norte
-45,9153843;-23,1597347;Norte
-45,914339;-23,1661809;Norte
-45,891845;-23,168133;Norte
-45,8943887;-23,1619624;Norte
-45,8940157;-23,1623127;Norte
-45,8913499;-23,157115;Norte
-45,8949279;-23,1628546;Norte
-45,9007929;-23,1626738;Norte
-45,8967483;-23,1591827;Norte
-45,8991539;-23,1628246;Norte
-45,8975726;-23,1592486;Norte
-45,8904514;-23,1579995;Norte
-45,890906;-23,161596;Norte
-45,898897;-23,1621881;Norte
-45,859106;-23,194556;Leste
-45,8501925;-23,191482;Leste
-45,8491927;-23,18352;Leste
-45,8562072;-23,1843535;Leste
-45,9108564;-23,1414615;Norte
-45,911103;-23,1479155;Norte
-45,9113579;-23,1480841;Norte
-45,9104112;-23,1478312;Norte
-45,8873104;-23,1837573;Centro
-45,7946902;-23,1873701;Leste
-45,7930028;-23,1837309;Leste
-45,7975219;-23,1830529;Leste
-45,7934621;-23,1832054;Leste
-45,7929297;-23,1843351;Leste
-45,810035;-23,210051;Leste
-45,810757;-23,211127;Leste
-45,8314403;-23,1823747;Leste
-45,8257288;-23,1805292;Leste
-45,8111067;-23,1797072;Leste
-45,8250287;-23,1761994;Leste
-45,8208223;-23,1767438;Leste
-45,8318167;-23,1817902;Leste
-45,8212106;-23,1763372;Leste
-45,8126822;-23,179474;Leste
-45,8339751;-23,1823779;Leste
-45,8226409;-23,1781472;Leste
-45,813343;-23,180553;Leste
-45,785618;-23,1943598;Leste
-45,784628;-23,194984;Leste
-45,7916503;-23,1947971;Leste
-45,7916824;-23,1948399;Leste
-45,7851678;-23,1938805;Leste
-45,7878539;-23,1908212;Leste
-45,7891868;-23,1929224;Leste
-45,7844629;-23,201276;Leste
-45,7819437;-23,1981608;Leste
-45,795704;-23,217176;Leste
-45,793326;-23,221915;Leste
-45,8561004;-23,2068327;Sudeste
-45,8573921;-23,2016994;Sudeste
-45,8645564;-23,1956714;Sudeste
-45,853803;-23,204197;Sudeste
-45,8529749;-23,2058173;Sudeste
-45,8600662;-23,2002956;Sudeste
-45,8559037;-23,2098628;Sudeste
-45,853842;-23,211776;Sudeste
-45,8443113;-23,2444859;Sudeste
-45,8531005;-23,2114342;Sudeste
-45,852908;-23,21625;Sudeste
-45,804434;-23,214295;Leste
-45,8029766;-23,2135364;Leste
-45,793923;-23,227009;Leste
-45,8318985;-23,2573109;Sudeste
-45,8061215;-23,2556441;Sudeste
-45,8253949;-23,2441263;Sudeste
-45,8247815;-23,244499;Sudeste
-45,8299951;-23,2371471;Sudeste
-45,8306232;-23,2551814;Sudeste
-45,8314606;-23,2544111;Sudeste
-45,833075;-23,24852;Sudeste
-45,833577;-23,249207;Sudeste
-45,8270684;-23,2547762;Sudeste
-45,8285453;-23,2486502;Sudeste
-45,8365965;-23,2562253;Sudeste
-45,8281958;-23,2526404;Sudeste
-45,7539938;-23,2089217;Leste
-45,7788145;-23,2104511;Leste
-45,7660264;-23,1313791;Leste
-45,7632425;-23,1310892;Leste
-45,7760884;-23,1366461;Leste
-45,775381;-23,1416289;Leste
-45,7738663;-23,1357114;Leste
-45,7750651;-23,1363119;Leste
-45,7716067;-23,1357828;Leste
-45,7699952;-23,1333207;Leste
-45,7779398;-23,1397717;Leste
-45,7667986;-23,1362728;Leste
-45,7962485;-23,1731707;Leste
-45,778547;-23,170092;Leste
-45,7961646;-23,1735876;Leste
-45,7910563;-23,1740707;Leste
-45,77789;-23,169917;Leste
-45,7891595;-23,1686853;Leste
-45,7779345;-23,1697866;Leste
-45,7777707;-23,1696145;Leste
-45,8049051;-23,1690067;Leste
-45,801962;-23,1712753;Leste
-45,8075447;-23,1739214;Leste
-45,816165;-23,1720511;Leste
-45,811552;-23,1665545;Leste
-45,795291;-23,162139;Leste
-45,7932071;-23,1639329;Leste
-45,8181998;-23,1733244;Leste
-45,8254336;-23,1755786;Leste
-45,7842301;-23,1407502;Leste
-45,7963339;-23,146389;Leste
-45,7855539;-23,1408644;Leste
-45,7970596;-23,1469791;Leste
-45,783271;-23,137844;Leste
-45,8417489;-23,1750115;Leste
-45,8395662;-23,1697588;Leste
-45,8471478;-23,1733678;Leste
-45,8391046;-23,1700275;Leste
-45,8404702;-23,1702569;Leste
-45,9524569;-23,2084385;
-45,980722;-23,313665;
