Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Itapetininga;  130 026 ;  64 676 ;  65 350 ;  123 401 ;  59 971 ;  63 430 ;  6 625 ;  4 705 ;  1 920 ;352230705;;;;;;;;
Morro do Alto;  1 468 ;   771 ;   697 ;   235 ;   118 ;   117 ;  1 233 ;   653 ;   580 ;352230720;;;;;;;;
Rechan;  4 772 ;  2 506 ;  2 266 ;  4 142 ;  2 175 ;  1 967 ;   630 ;   331 ;   299 ;352230725;;;;;;;;
Tupy;  2 319 ;  1 194 ;  1 125 ;  1 511 ;   767 ;   744 ;   808 ;   427 ;   381 ;352230730;;;;;;;;
Varginha;  2 466 ;  1 298 ;  1 168 ;   205 ;   105 ;   100 ;  2 261 ;  1 193 ;  1 068 ;352230735;;;;;;;;
Itapeva;  87 753 ;  43 243 ;  44 510 ;  73 956 ;  36 037 ;  37 919 ;  13 797 ;  7 206 ;  6 591 ;3522406;;;;;;;;
Alto da Brancal;  1 745 ;   865 ;   880 ;   803 ;   403 ;   400 ;   942 ;   462 ;   480 ;352240611;;;;;;;;
Areia Branca;  2 305 ;  1 208 ;  1 097 ;   57 ;   28 ;   29 ;  2 248 ;  1 180 ;  1 068 ;352240613;;;;;;;;
Guarizinho;  4 364 ;  2 287 ;  2 077 ;   558 ;   286 ;   272 ;  3 806 ;  2 001 ;  1 805 ;352240615;;;;;;;;
Itapeva;  79 339 ;  38 883 ;  40 456 ;  72 538 ;  35 320 ;  37 218 ;  6 801 ;  3 563 ;  3 238 ;352240605;;;;;;;;
Itapevi;  200 769 ;  98 746 ;  102 023 ;  200 769 ;  98 746 ;  102 023 ;- ;- ;- ;3522505;;;;;;;;
Itapevi;  200 769 ;  98 746 ;  102 023 ;  200 769 ;  98 746 ;  102 023 ;- ;- ;- ;352250505;;;;;;;;
Itapira;  68 537 ;  33 950 ;  34 587 ;  63 576 ;  31 199 ;  32 377 ;  4 961 ;  2 751 ;  2 210 ;3522604;;;;;;;;
Barão Ataliba Nogueira;  2 177 ;  1 146 ;  1 031 ;  1 528 ;   785 ;   743 ;   649 ;   361 ;   288 ;352260410;;;;;;;;
Eleutério;   784 ;   417 ;   367 ;   450 ;   232 ;   218 ;   334 ;   185 ;   149 ;352260415;;;;;;;;
Itapira;  65 576 ;  32 387 ;  33 189 ;  61 598 ;  30 182 ;  31 416 ;  3 978 ;  2 205 ;  1 773 ;352260405;;;;;;;;
Itapirapuã Paulista;  3 880 ;  2 002 ;  1 878 ;  1 892 ;   964 ;   928 ;  1 988 ;  1 038 ;   950 ;3522653;;;;;;;;
Itapirapuã Paulista;  3 880 ;  2 002 ;  1 878 ;  1 892 ;   964 ;   928 ;  1 988 ;  1 038 ;   950 ;352265305;;;;;;;;
Itápolis;  40 051 ;  19 867 ;  20 184 ;  36 325 ;  17 918 ;  18 407 ;  3 726 ;  1 949 ;  1 777 ;3522703;;;;;;;;
Itápolis;  35 481 ;  17 536 ;  17 945 ;  32 714 ;  16 088 ;  16 626 ;  2 767 ;  1 448 ;  1 319 ;352270305;;;;;;;;
Nova América;  1 753 ;   881 ;   872 ;  1 118 ;   555 ;   563 ;   635 ;   326 ;   309 ;352270310;;;;;;;;
Tapinas;  2 817 ;  1 450 ;  1 367 ;  2 493 ;  1 275 ;  1 218 ;   324 ;   175 ;   149 ;352270315;;;;;;;;
Itaporanga;  14 549 ;  7 280 ;  7 269 ;  11 033 ;  5 394 ;  5 639 ;  3 516 ;  1 886 ;  1 630 ;3522802;;;;;;;;
Itaporanga;  14 549 ;  7 280 ;  7 269 ;  11 033 ;  5 394 ;  5 639 ;  3 516 ;  1 886 ;  1 630 ;352280205;;;;;;;;
Itapuí;  12 173 ;  6 150 ;  6 023 ;  11 630 ;  5 852 ;  5 778 ;   543 ;   298 ;   245 ;3522901;;;;;;;;
Itapuí;  12 173 ;  6 150 ;  6 023 ;  11 630 ;  5 852 ;  5 778 ;   543 ;   298 ;   245 ;352290105;;;;;;;;
Itapura;  4 357 ;  2 257 ;  2 100 ;  3 482 ;  1 787 ;  1 695 ;   875 ;   470 ;   405 ;3523008;;;;;;;;
Itapura;  4 357 ;  2 257 ;  2 100 ;  3 482 ;  1 787 ;  1 695 ;   875 ;   470 ;   405 ;352300805;;;;;;;;
Itaquaquecetuba;  321 770 ;  158 542 ;  163 228 ;  321 770 ;  158 542 ;  163 228 ;- ;- ;- ;3523107;;;;;;;;
Itaquaquecetuba;  321 770 ;  158 542 ;  163 228 ;  321 770 ;  158 542 ;  163 228 ;- ;- ;- ;352310705;;;;;;;;
Itararé;  47 934 ;  23 523 ;  24 411 ;  44 270 ;  21 526 ;  22 744 ;  3 664 ;  1 997 ;  1 667 ;3523206;;;;;;;;
Itararé;  46 536 ;  22 754 ;  23 782 ;  43 386 ;  21 058 ;  22 328 ;  3 150 ;  1 696 ;  1 454 ;352320605;;;;;;;;
Pedra Branca de Itararé;   901 ;   497 ;   404 ;   602 ;   319 ;   283 ;   299 ;   178 ;   121 ;352320625;;;;;;;;
Santa Cruz dos Lopes;   497 ;   272 ;   225 ;   282 ;   149 ;   133 ;   215 ;   123 ;   92 ;352320630;;;;;;;;
Itariri;  15 471 ;  7 794 ;  7 677 ;  9 879 ;  4 919 ;  4 960 ;  5 592 ;  2 875 ;  2 717 ;3523305;;;;;;;;
Ana Dias;  7 540 ;  3 768 ;  3 772 ;  3 445 ;  1 708 ;  1 737 ;  4 095 ;  2 060 ;  2 035 ;352330510;;;;;;;;
Itariri;  7 931 ;  4 026 ;  3 905 ;  6 434 ;  3 211 ;  3 223 ;  1 497 ;   815 ;   682 ;352330505;;;;;;;;
Itatiba;  101 471 ;  50 147 ;  51 324 ;  85 666 ;  42 062 ;  43 604 ;  15 805 ;  8 085 ;  7 720 ;3523404;;;;;;;;
Itatiba;  101 471 ;  50 147 ;  51 324 ;  85 666 ;  42 062 ;  43 604 ;  15 805 ;  8 085 ;  7 720 ;352340405;;;;;;;;
Itatinga;  18 052 ;  9 230 ;  8 822 ;  16 420 ;  8 328 ;  8 092 ;  1 632 ;   902 ;   730 ;3523503;;;;;;;;
Itatinga;  17 572 ;  8 973 ;  8 599 ;  16 166 ;  8 193 ;  7 973 ;  1 406 ;   780 ;   626 ;352350305;;;;;;;;
Lobo;   480 ;   257 ;   223 ;   254 ;   135 ;   119 ;   226 ;   122 ;   104 ;352350310;;;;;;;;
Itirapina;  15 524 ;  9 154 ;  6 370 ;  14 001 ;  8 321 ;  5 680 ;  1 523 ;   833 ;   690 ;3523602;;;;;;;;
Itaqueri da Serra;   301 ;   173 ;   128 ;   55 ;   31 ;   24 ;   246 ;   142 ;   104 ;352360210;;;;;;;;
Itirapina;  15 223 ;  8 981 ;  6 242 ;  13 946 ;  8 290 ;  5 656 ;  1 277 ;   691 ;   586 ;352360205;;;;;;;;
Itirapuã;  5 914 ;  3 013 ;  2 901 ;  4 929 ;  2 470 ;  2 459 ;   985 ;   543 ;   442 ;3523701;;;;;;;;
Itirapuã;  5 914 ;  3 013 ;  2 901 ;  4 929 ;  2 470 ;  2 459 ;   985 ;   543 ;   442 ;352370105;;;;;;;;
Itobi;  7 546 ;  3 908 ;  3 638 ;  6 800 ;  3 513 ;  3 287 ;   746 ;   395 ;   351 ;3523800;;;;;;;;
Itobi;  7 546 ;  3 908 ;  3 638 ;  6 800 ;  3 513 ;  3 287 ;   746 ;   395 ;   351 ;352380005;;;;;;;;
Itu;  154 147 ;  76 219 ;  77 928 ;  144 269 ;  71 002 ;  73 267 ;  9 878 ;  5 217 ;  4 661 ;3523909;;;;;;;;
Itu;  154 147 ;  76 219 ;  77 928 ;  144 269 ;  71 002 ;  73 267 ;  9 878 ;  5 217 ;  4 661 ;352390905;;;;;;;;
Itupeva;  44 859 ;  22 793 ;  22 066 ;  38 955 ;  19 704 ;  19 251 ;  5 904 ;  3 089 ;  2 815 ;3524006;;;;;;;;
Itupeva;  44 859 ;  22 793 ;  22 066 ;  38 955 ;  19 704 ;  19 251 ;  5 904 ;  3 089 ;  2 815 ;352400605;;;;;;;;
Ituverava;  38 695 ;  18 874 ;  19 821 ;  36 430 ;  17 684 ;  18 746 ;  2 265 ;  1 190 ;  1 075 ;3524105;;;;;;;;
Capivari da Mata;   455 ;   247 ;   208 ;   216 ;   111 ;   105 ;   239 ;   136 ;   103 ;352410510;;;;;;;;
Ituverava;  35 120 ;  16 975 ;  18 145 ;  33 267 ;  16 016 ;  17 251 ;  1 853 ;   959 ;   894 ;352410505;;;;;;;;
São Benedito da Cachoeirinha;  3 120 ;  1 652 ;  1 468 ;  2 947 ;  1 557 ;  1 390 ;   173 ;   95 ;   78 ;352410515;;;;;;;;
Jaborandi;  6 592 ;  3 338 ;  3 254 ;  6 166 ;  3 109 ;  3 057 ;   426 ;   229 ;   197 ;3524204;;;;;;;;
Jaborandi;  6 592 ;  3 338 ;  3 254 ;  6 166 ;  3 109 ;  3 057 ;   426 ;   229 ;   197 ;352420405;;;;;;;;
Jaboticabal;  71 662 ;  34 794 ;  36 868 ;  69 527 ;  33 692 ;  35 835 ;  2 135 ;  1 102 ;  1 033 ;3524303;;;;;;;;
Córrego Rico;  1 414 ;   736 ;   678 ;  1 058 ;   542 ;   516 ;   356 ;   194 ;   162 ;352430310;;;;;;;;
Jaboticabal;  69 718 ;  33 795 ;  35 923 ;  68 199 ;  33 018 ;  35 181 ;  1 519 ;   777 ;   742 ;352430305;;;;;;;;
Lusitânia;   530 ;   263 ;   267 ;   270 ;   132 ;   138 ;   260 ;   131 ;   129 ;352430315;;;;;;;;
Jacareí;  211 214 ;  103 092 ;  108 122 ;  208 297 ;  101 489 ;  106 808 ;  2 917 ;  1 603 ;  1 314 ;3524402;;;;;;;;
Jacareí;  189 409 ;  92 285 ;  97 124 ;  186 921 ;  90 917 ;  96 004 ;  2 488 ;  1 368 ;  1 120 ;352440205;;;;;;;;
Parque Meia Lua;  11 300 ;  5 562 ;  5 738 ;  11 271 ;  5 549 ;  5 722 ;   29 ;   13 ;   16 ;352440207;;;;;;;;
São Silvestre de Jacareí;  10 505 ;  5 245 ;  5 260 ;  10 105 ;  5 023 ;  5 082 ;   400 ;   222 ;   178 ;352440210;;;;;;;;
Jaci;  5 657 ;  2 892 ;  2 765 ;  4 871 ;  2 446 ;  2 425 ;   786 ;   446 ;   340 ;3524501;;;;;;;;
Jaci;  5 657 ;  2 892 ;  2 765 ;  4 871 ;  2 446 ;  2 425 ;   786 ;   446 ;   340 ;352450105;;;;;;;;
Jacupiranga;  17 208 ;  8 777 ;  8 431 ;  9 369 ;  4 591 ;  4 778 ;  7 839 ;  4 186 ;  3 653 ;3524600;;;;;;;;
Jacupiranga;  17 208 ;  8 777 ;  8 431 ;  9 369 ;  4 591 ;  4 778 ;  7 839 ;  4 186 ;  3 653 ;352460005;;;;;;;;
Jaguariúna;  44 311 ;  22 004 ;  22 307 ;  43 033 ;  21 325 ;  21 708 ;  1 278 ;   679 ;   599 ;3524709;;;;;;;;
Jaguariúna;  44 311 ;  22 004 ;  22 307 ;  43 033 ;  21 325 ;  21 708 ;  1 278 ;   679 ;   599 ;352470905;;;;;;;;
Jales;  47 012 ;  22 986 ;  24 026 ;  44 239 ;  21 528 ;  22 711 ;  2 773 ;  1 458 ;  1 315 ;3524808;;;;;;;;
Jales;  47 012 ;  22 986 ;  24 026 ;  44 239 ;  21 528 ;  22 711 ;  2 773 ;  1 458 ;  1 315 ;352480805;;;;;;;;
Jambeiro;  5 349 ;  2 769 ;  2 580 ;  2 561 ;  1 310 ;  1 251 ;  2 788 ;  1 459 ;  1 329 ;3524907;;;;;;;;
Jambeiro;  5 349 ;  2 769 ;  2 580 ;  2 561 ;  1 310 ;  1 251 ;  2 788 ;  1 459 ;  1 329 ;352490705;;;;;;;;
Jandira;  108 344 ;  53 063 ;  55 281 ;  108 344 ;  53 063 ;  55 281 ;- ;- ;- ;3525003;;;;;;;;
Jandira;  108 344 ;  53 063 ;  55 281 ;  108 344 ;  53 063 ;  55 281 ;- ;- ;- ;352500305;;;;;;;;
Jardinópolis;  37 661 ;  18 949 ;  18 712 ;  36 141 ;  18 115 ;  18 026 ;  1 520 ;   834 ;   686 ;3525102;;;;;;;;
Jardinópolis;  35 799 ;  17 966 ;  17 833 ;  34 650 ;  17 334 ;  17 316 ;  1 149 ;   632 ;   517 ;352510205;;;;;;;;
Jurucê;  1 862 ;   983 ;   879 ;  1 491 ;   781 ;   710 ;   371 ;   202 ;   169 ;352510210;;;;;;;;
Jarinu;  23 847 ;  12 005 ;  11 842 ;  18 429 ;  9 206 ;  9 223 ;  5 418 ;  2 799 ;  2 619 ;3525201;;;;;;;;
Jarinu;  23 847 ;  12 005 ;  11 842 ;  18 429 ;  9 206 ;  9 223 ;  5 418 ;  2 799 ;  2 619 ;352520105;;;;;;;;
Jaú;  131 040 ;  64 214 ;  66 826 ;  126 943 ;  62 004 ;  64 939 ;  4 097 ;  2 210 ;  1 887 ;3525300;;;;;;;;
Jaú;  121 215 ;  59 192 ;  62 023 ;  118 969 ;  57 914 ;  61 055 ;  2 246 ;  1 278 ;   968 ;352530005;;;;;;;;
Potunduva;  9 825 ;  5 022 ;  4 803 ;  7 974 ;  4 090 ;  3 884 ;  1 851 ;   932 ;   919 ;352530010;;;;;;;;
Jeriquara;  3 160 ;  1 622 ;  1 538 ;  2 606 ;  1 327 ;  1 279 ;   554 ;   295 ;   259 ;3525409;;;;;;;;
Jeriquara;  3 160 ;  1 622 ;  1 538 ;  2 606 ;  1 327 ;  1 279 ;   554 ;   295 ;   259 ;352540905;;;;;;;;
Joanópolis;  11 768 ;  5 927 ;  5 841 ;  11 768 ;  5 927 ;  5 841 ;- ;- ;- ;3525508;;;;;;;;
Joanópolis;  11 768 ;  5 927 ;  5 841 ;  11 768 ;  5 927 ;  5 841 ;- ;- ;- ;352550805;;;;;;;;
João Ramalho;  4 150 ;  2 098 ;  2 052 ;  3 543 ;  1 778 ;  1 765 ;   607 ;   320 ;   287 ;3525607;;;;;;;;
João Ramalho;  4 150 ;  2 098 ;  2 052 ;  3 543 ;  1 778 ;  1 765 ;   607 ;   320 ;   287 ;352560705;;;;;;;;
José Bonifácio;  32 763 ;  16 351 ;  16 412 ;  29 684 ;  14 688 ;  14 996 ;  3 079 ;  1 663 ;  1 416 ;3525706;;;;;;;;
José Bonifácio;  32 763 ;  16 351 ;  16 412 ;  29 684 ;  14 688 ;  14 996 ;  3 079 ;  1 663 ;  1 416 ;352570605;;;;;;;;
Júlio Mesquita;  4 430 ;  2 179 ;  2 251 ;  4 214 ;  2 069 ;  2 145 ;   216 ;   110 ;   106 ;3525805;;;;;;;;
Júlio Mesquita;  4 430 ;  2 179 ;  2 251 ;  4 214 ;  2 069 ;  2 145 ;   216 ;   110 ;   106 ;352580505;;;;;;;;
Jumirim;  2 798 ;  1 444 ;  1 354 ;  1 623 ;   802 ;   821 ;  1 175 ;   642 ;   533 ;3525854;;;;;;;;
Jumirim;  2 798 ;  1 444 ;  1 354 ;  1 623 ;   802 ;   821 ;  1 175 ;   642 ;   533 ;352585405;;;;;;;;
Jundiaí;  370 126 ;  180 049 ;  190 077 ;  354 204 ;  171 931 ;  182 273 ;  15 922 ;  8 118 ;  7 804 ;3525904;;;;;;;;
Jundiaí;  370 126 ;  180 049 ;  190 077 ;  354 204 ;  171 931 ;  182 273 ;  15 922 ;  8 118 ;  7 804 ;352590405;;;;;;;;
Junqueirópolis;  18 726 ;  9 921 ;  8 805 ;  15 399 ;  7 549 ;  7 850 ;  3 327 ;  2 372 ;   955 ;3526001;;;;;;;;
Junqueirópolis;  18 726 ;  9 921 ;  8 805 ;  15 399 ;  7 549 ;  7 850 ;  3 327 ;  2 372 ;   955 ;352600105;;;;;;;;
Juquiá;  19 246 ;  9 740 ;  9 506 ;  12 139 ;  5 906 ;  6 233 ;  7 107 ;  3 834 ;  3 273 ;3526100;;;;;;;;
Juquiá;  19 246 ;  9 740 ;  9 506 ;  12 139 ;  5 906 ;  6 233 ;  7 107 ;  3 834 ;  3 273 ;352610005;;;;;;;;
Juquitiba;  28 737 ;  14 543 ;  14 194 ;  22 240 ;  11 106 ;  11 134 ;  6 497 ;  3 437 ;  3 060 ;3526209;;;;;;;;
Barnabés;  6 224 ;  3 191 ;  3 033 ;  4 781 ;  2 434 ;  2 347 ;  1 443 ;   757 ;   686 ;352620910;;;;;;;;
Juquitiba;  22 513 ;  11 352 ;  11 161 ;  17 459 ;  8 672 ;  8 787 ;  5 054 ;  2 680 ;  2 374 ;352620905;;;;;;;;
Lagoinha;  4 841 ;  2 479 ;  2 362 ;  3 138 ;  1 568 ;  1 570 ;  1 703 ;   911 ;   792 ;3526308;;;;;;;;
Lagoinha;  4 841 ;  2 479 ;  2 362 ;  3 138 ;  1 568 ;  1 570 ;  1 703 ;   911 ;   792 ;352630805;;;;;;;;
Laranjal Paulista;  25 251 ;  12 465 ;  12 786 ;  22 612 ;  11 083 ;  11 529 ;  2 639 ;  1 382 ;  1 257 ;3526407;;;;;;;;
Laranjal Paulista;  22 240 ;  10 963 ;  11 277 ;  20 325 ;  9 955 ;  10 370 ;  1 915 ;  1 008 ;   907 ;352640705;;;;;;;;
Laras;   742 ;   368 ;   374 ;   488 ;   239 ;   249 ;   254 ;   129 ;   125 ;352640710;;;;;;;;
Maristela;  2 269 ;  1 134 ;  1 135 ;  1 799 ;   889 ;   910 ;   470 ;   245 ;   225 ;352640715;;;;;;;;
Lavínia;  8 779 ;  6 183 ;  2 596 ;  4 285 ;  2 089 ;  2 196 ;  4 494 ;  4 094 ;   400 ;3526506;;;;;;;;
Lavínia;  8 604 ;  6 092 ;  2 512 ;  4 216 ;  2 056 ;  2 160 ;  4 388 ;  4 036 ;   352 ;352650605;;;;;;;;
Tabajara;   175 ;   91 ;   84 ;   69 ;   33 ;   36 ;   106 ;   58 ;   48 ;352650610;;;;;;;;
Lavrinhas;  6 590 ;  3 320 ;  3 270 ;  6 049 ;  3 032 ;  3 017 ;   541 ;   288 ;   253 ;3526605;;;;;;;;
Lavrinhas;  4 556 ;  2 265 ;  2 291 ;  4 376 ;  2 172 ;  2 204 ;   180 ;   93 ;   87 ;352660505;;;;;;;;
Pinheiros;  2 034 ;  1 055 ;   979 ;  1 673 ;   860 ;   813 ;   361 ;   195 ;   166 ;352660510;;;;;;;;
Leme;  91 756 ;  46 030 ;  45 726 ;  89 862 ;  45 028 ;  44 834 ;  1 894 ;  1 002 ;   892 ;3526704;;;;;;;;
Leme;  91 756 ;  46 030 ;  45 726 ;  89 862 ;  45 028 ;  44 834 ;  1 894 ;  1 002 ;   892 ;352670405;;;;;;;;
Lençóis Paulista;  61 428 ;  30 498 ;  30 930 ;  60 051 ;  29 771 ;  30 280 ;  1 377 ;   727 ;   650 ;3526803;;;;;;;;
Alfredo Guedes;  1 137 ;   608 ;   529 ;   503 ;   272 ;   231 ;   634 ;   336 ;   298 ;352680310;;;;;;;;
Lençóis Paulista;  60 291 ;  29 890 ;  30 401 ;  59 548 ;  29 499 ;  30 049 ;   743 ;   391 ;   352 ;352680305;;;;;;;;
Limeira;  276 022 ;  135 628 ;  140 394 ;  267 785 ;  131 365 ;  136 420 ;  8 237 ;  4 263 ;  3 974 ;3526902;;;;;;;;
Limeira;  276 022 ;  135 628 ;  140 394 ;  267 785 ;  131 365 ;  136 420 ;  8 237 ;  4 263 ;  3 974 ;352690205;;;;;;;;
Lindóia;  6 712 ;  3 326 ;  3 386 ;  6 712 ;  3 326 ;  3 386 ;- ;- ;- ;3527009;;;;;;;;
Lindóia;  6 712 ;  3 326 ;  3 386 ;  6 712 ;  3 326 ;  3 386 ;- ;- ;- ;352700905;;;;;;;;
Lins;  71 432 ;  34 681 ;  36 751 ;  70 597 ;  34 241 ;  36 356 ;   835 ;   440 ;   395 ;3527108;;;;;;;;
Guapiranga;   384 ;   197 ;   187 ;   162 ;   83 ;   79 ;   222 ;   114 ;   108 ;352710810;;;;;;;;
Lins;  71 048 ;  34 484 ;  36 564 ;  70 435 ;  34 158 ;  36 277 ;   613 ;   326 ;   287 ;352710805;;;;;;;;
Lorena;  82 537 ;  39 858 ;  42 679 ;  80 173 ;  38 571 ;  41 602 ;  2 364 ;  1 287 ;  1 077 ;3527207;;;;;;;;
Lorena;  82 537 ;  39 858 ;  42 679 ;  80 173 ;  38 571 ;  41 602 ;  2 364 ;  1 287 ;  1 077 ;352720705;;;;;;;;
Lourdes;  2 128 ;  1 107 ;  1 021 ;  1 744 ;   898 ;   846 ;   384 ;   209 ;   175 ;3527256;;;;;;;;
Lourdes;  2 128 ;  1 107 ;  1 021 ;  1 744 ;   898 ;   846 ;   384 ;   209 ;   175 ;352725605;;;;;;;;
Louveira;  37 125 ;  18 801 ;  18 324 ;  35 695 ;  18 083 ;  17 612 ;  1 430 ;   718 ;   712 ;3527306;;;;;;;;
Louveira;  37 125 ;  18 801 ;  18 324 ;  35 695 ;  18 083 ;  17 612 ;  1 430 ;   718 ;   712 ;352730605;;;;;;;;
Lucélia;  19 882 ;  10 559 ;  9 323 ;  17 219 ;  8 477 ;  8 742 ;  2 663 ;  2 082 ;   581 ;3527405;;;;;;;;
Lucélia;  19 882 ;  10 559 ;  9 323 ;  17 219 ;  8 477 ;  8 742 ;  2 663 ;  2 082 ;   581 ;352740505;;;;;;;;
Lucianópolis;  2 249 ;  1 118 ;  1 131 ;  1 780 ;   884 ;   896 ;   469 ;   234 ;   235 ;3527504;;;;;;;;
Lucianópolis;  2 249 ;  1 118 ;  1 131 ;  1 780 ;   884 ;   896 ;   469 ;   234 ;   235 ;352750405;;;;;;;;
Luís Antônio;  11 286 ;  5 832 ;  5 454 ;  10 901 ;  5 625 ;  5 276 ;   385 ;   207 ;   178 ;3527603;;;;;;;;
Luís Antônio;  11 286 ;  5 832 ;  5 454 ;  10 901 ;  5 625 ;  5 276 ;   385 ;   207 ;   178 ;352760305;;;;;;;;
Luiziânia;  5 030 ;  2 612 ;  2 418 ;  4 611 ;  2 398 ;  2 213 ;   419 ;   214 ;   205 ;3527702;;;;;;;;
Luiziânia;  5 030 ;  2 612 ;  2 418 ;  4 611 ;  2 398 ;  2 213 ;   419 ;   214 ;   205 ;352770205;;;;;;;;
Lupércio;  4 353 ;  2 121 ;  2 232 ;  3 865 ;  1 875 ;  1 990 ;   488 ;   246 ;   242 ;3527801;;;;;;;;
Lupércio;  2 795 ;  1 342 ;  1 453 ;  2 413 ;  1 149 ;  1 264 ;   382 ;   193 ;   189 ;352780105;;;;;;;;
Santa Terezinha;  1 558 ;   779 ;   779 ;  1 452 ;   726 ;   726 ;   106 ;   53 ;   53 ;352780125;;;;;;;;
Lutécia;  2 714 ;  1 354 ;  1 360 ;  2 158 ;  1 066 ;  1 092 ;   556 ;   288 ;   268 ;3527900;;;;;;;;
Lutécia;  2 714 ;  1 354 ;  1 360 ;  2 158 ;  1 066 ;  1 092 ;   556 ;   288 ;   268 ;352790005;;;;;;;;
Macatuba;  16 259 ;  8 152 ;  8 107 ;  15 776 ;  7 895 ;  7 881 ;   483 ;   257 ;   226 ;3528007;;;;;;;;
Macatuba;  16 259 ;  8 152 ;  8 107 ;  15 776 ;  7 895 ;  7 881 ;   483 ;   257 ;   226 ;352800705;;;;;;;;
Macaubal;  7 663 ;  3 880 ;  3 783 ;  6 773 ;  3 397 ;  3 376 ;   890 ;   483 ;   407 ;3528106;;;;;;;;
Macaubal;  7 663 ;  3 880 ;  3 783 ;  6 773 ;  3 397 ;  3 376 ;   890 ;   483 ;   407 ;352810605;;;;;;;;
Macedônia;  3 664 ;  1 837 ;  1 827 ;  2 777 ;  1 367 ;  1 410 ;   887 ;   470 ;   417 ;3528205;;;;;;;;
Macedônia;  3 664 ;  1 837 ;  1 827 ;  2 777 ;  1 367 ;  1 410 ;   887 ;   470 ;   417 ;352820505;;;;;;;;
Magda;  3 200 ;  1 651 ;  1 549 ;  2 655 ;  1 358 ;  1 297 ;   545 ;   293 ;   252 ;3528304;;;;;;;;
Magda;  3 200 ;  1 651 ;  1 549 ;  2 655 ;  1 358 ;  1 297 ;   545 ;   293 ;   252 ;352830405;;;;;;;;
Mairinque;  43 223 ;  21 538 ;  21 685 ;  34 690 ;  17 083 ;  17 607 ;  8 533 ;  4 455 ;  4 078 ;3528403;;;;;;;;
Mairinque;  43 223 ;  21 538 ;  21 685 ;  34 690 ;  17 083 ;  17 607 ;  8 533 ;  4 455 ;  4 078 ;352840305;;;;;;;;
Mairiporã;  80 956 ;  40 975 ;  39 981 ;  70 750 ;  35 467 ;  35 283 ;  10 206 ;  5 508 ;  4 698 ;3528502;;;;;;;;
Mairiporã;  63 265 ;  32 243 ;  31 022 ;  53 374 ;  26 903 ;  26 471 ;  9 891 ;  5 340 ;  4 551 ;352850205;;;;;;;;
Terra Preta;  17 691 ;  8 732 ;  8 959 ;  17 376 ;  8 564 ;  8 812 ;   315 ;   168 ;   147 ;352850215;;;;;;;;
Manduri;  8 992 ;  4 519 ;  4 473 ;  7 778 ;  3 864 ;  3 914 ;  1 214 ;   655 ;   559 ;3528601;;;;;;;;
Manduri;  8 213 ;  4 109 ;  4 104 ;  7 252 ;  3 590 ;  3 662 ;   961 ;   519 ;   442 ;352860105;;;;;;;;
São Berto;   779 ;   410 ;   369 ;   526 ;   274 ;   252 ;   253 ;   136 ;   117 ;352860110;;;;;;;;
Marabá Paulista;  4 812 ;  3 048 ;  1 764 ;  2 142 ;  1 079 ;  1 063 ;  2 670 ;  1 969 ;   701 ;3528700;;;;;;;;
Marabá Paulista;  4 812 ;  3 048 ;  1 764 ;  2 142 ;  1 079 ;  1 063 ;  2 670 ;  1 969 ;   701 ;352870005;;;;;;;;
Maracaí;  13 332 ;  6 663 ;  6 669 ;  12 085 ;  6 010 ;  6 075 ;  1 247 ;   653 ;   594 ;3528809;;;;;;;;
Maracaí;  12 581 ;  6 280 ;  6 301 ;  11 700 ;  5 815 ;  5 885 ;   881 ;   465 ;   416 ;352880905;;;;;;;;
São José das Laranjeiras;   751 ;   383 ;   368 ;   385 ;   195 ;   190 ;   366 ;   188 ;   178 ;352880910;;;;;;;;
Marapoama;  2 633 ;  1 349 ;  1 284 ;  2 199 ;  1 122 ;  1 077 ;   434 ;   227 ;   207 ;3528858;;;;;;;;
Marapoama;  2 633 ;  1 349 ;  1 284 ;  2 199 ;  1 122 ;  1 077 ;   434 ;   227 ;   207 ;352885805;;;;;;;;
Mariápolis;  3 916 ;  2 021 ;  1 895 ;  3 137 ;  1 610 ;  1 527 ;   779 ;   411 ;   368 ;3528908;;;;;;;;
Mariápolis;  3 698 ;  1 907 ;  1 791 ;  3 071 ;  1 579 ;  1 492 ;   627 ;   328 ;   299 ;352890805;;;;;;;;
Mourão;   218 ;   114 ;   104 ;   66 ;   31 ;   35 ;   152 ;   83 ;   69 ;352890810;;;;;;;;
Marília;  216 745 ;  104 726 ;  112 019 ;  207 021 ;  99 682 ;  107 339 ;  9 724 ;  5 044 ;  4 680 ;3529005;;;;;;;;
Amadeu Amaral;   575 ;   300 ;   275 ;   153 ;   80 ;   73 ;   422 ;   220 ;   202 ;352900510;;;;;;;;
