Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Capão Bonito;  135 067 ;  68 315 ;  66 752 ;  83 745 ;  41 304 ;  42 441 ;  51 322 ;  27 011 ;  24 311 ;35044;;;;;;;;
Caraguatatuba;  281 779 ;  140 350 ;  141 429 ;  274 691 ;  136 559 ;  138 132 ;  7 088 ;  3 791 ;  3 297 ;35054;;;;;;;;
Catanduva;  221 465 ;  110 706 ;  110 759 ;  213 704 ;  106 608 ;  107 096 ;  7 761 ;  4 098 ;  3 663 ;35005;;;;;;;;
Dracena;  116 149 ;  58 967 ;  57 182 ;  102 426 ;  50 004 ;  52 422 ;  13 723 ;  8 963 ;  4 760 ;35034;;;;;;;;
Fernandópolis;  104 623 ;  51 440 ;  53 183 ;  94 496 ;  46 088 ;  48 408 ;  10 127 ;  5 352 ;  4 775 ;35002;;;;;;;;
Franca;  386 704 ;  190 104 ;  196 600 ;  367 260 ;  179 605 ;  187 655 ;  19 444 ;  10 499 ;  8 945 ;35012;;;;;;;;
Franco da Rocha;  453 561 ;  227 371 ;  226 190 ;  430 538 ;  212 749 ;  217 789 ;  23 023 ;  14 622 ;  8 401 ;35058;;;;;;;;
Guaratinguetá;  402 133 ;  196 889 ;  205 244 ;  377 512 ;  182 741 ;  194 771 ;  24 621 ;  14 148 ;  10 473 ;35051;;;;;;;;
Guarulhos; 1 347 337 ;  657 230 ;  690 107 ; 1 333 486 ;  649 908 ;  683 578 ;  13 851 ;  7 322 ;  6 529 ;35059;;;;;;;;
Itanhaém;  218 798 ;  107 380 ;  111 418 ;  208 350 ;  101 871 ;  106 479 ;  10 448 ;  5 509 ;  4 939 ;35056;;;;;;;;
Itapecerica da Serra;  986 998 ;  482 506 ;  504 492 ;  976 308 ;  476 864 ;  499 444 ;  10 690 ;  5 642 ;  5 048 ;35060;;;;;;;;
Itapetininga;  191 603 ;  97 648 ;  93 955 ;  163 798 ;  80 420 ;  83 378 ;  27 805 ;  17 228 ;  10 577 ;35042;;;;;;;;
Itapeva;  240 465 ;  119 597 ;  120 868 ;  197 242 ;  96 810 ;  100 432 ;  43 223 ;  22 787 ;  20 436 ;35041;;;;;;;;
Ituverava;  95 710 ;  47 262 ;  48 448 ;  90 137 ;  44 241 ;  45 896 ;  5 573 ;  3 021 ;  2 552 ;35011;;;;;;;;
Jaboticabal;  408 199 ;  202 266 ;  205 933 ;  388 843 ;  192 019 ;  196 824 ;  19 356 ;  10 247 ;  9 109 ;35013;;;;;;;;
Jales;  149 197 ;  73 915 ;  75 282 ;  130 073 ;  63 842 ;  66 231 ;  19 124 ;  10 073 ;  9 051 ;35001;;;;;;;;
Jaú;  346 342 ;  171 799 ;  174 543 ;  331 791 ;  164 040 ;  167 751 ;  14 551 ;  7 759 ;  6 792 ;35021;;;;;;;;
Jundiaí;  633 273 ;  311 450 ;  321 823 ;  610 017 ;  299 525 ;  310 492 ;  23 256 ;  11 925 ;  11 331 ;35047;;;;;;;;
Limeira;  578 595 ;  286 683 ;  291 912 ;  556 592 ;  275 204 ;  281 388 ;  22 003 ;  11 479 ;  10 524 ;35027;;;;;;;;
Lins;  160 220 ;  79 338 ;  80 882 ;  146 650 ;  71 635 ;  75 015 ;  13 570 ;  7 703 ;  5 867 ;35019;;;;;;;;
Marília;  330 285 ;  161 103 ;  169 182 ;  305 885 ;  147 595 ;  158 290 ;  24 400 ;  13 508 ;  10 892 ;35038;;;;;;;;
Mogi das Cruzes; 1 316 402 ;  644 845 ;  671 557 ; 1 254 134 ;  612 592 ;  641 542 ;  62 268 ;  32 253 ;  30 015 ;35062;;;;;;;;
Moji Mirim;  382 879 ;  190 435 ;  192 444 ;  353 157 ;  174 588 ;  178 569 ;  29 722 ;  15 847 ;  13 875 ;35031;;;;;;;;
Nhandeara;  65 337 ;  32 726 ;  32 611 ;  57 186 ;  28 376 ;  28 810 ;  8 151 ;  4 350 ;  3 801 ;35007;;;;;;;;
Novo Horizonte;  79 222 ;  39 882 ;  39 340 ;  71 099 ;  35 548 ;  35 551 ;  8 123 ;  4 334 ;  3 789 ;35008;;;;;;;;
Osasco; 1 774 846 ;  862 066 ;  912 780 ; 1 773 555 ;  861 395 ;  912 160 ;  1 291 ;   671 ;   620 ;35057;;;;;;;;
Ourinhos;  289 917 ;  142 429 ;  147 488 ;  261 200 ;  127 222 ;  133 978 ;  28 717 ;  15 207 ;  13 510 ;35040;;;;;;;;
Paraibuna/Paraitinga;  70 392 ;  36 070 ;  34 322 ;  34 289 ;  16 910 ;  17 379 ;  36 103 ;  19 160 ;  16 943 ;35053;;;;;;;;
Piedade;  189 228 ;  96 247 ;  92 981 ;  96 671 ;  47 815 ;  48 856 ;  92 557 ;  48 432 ;  44 125 ;35045;;;;;;;;
Piracicaba;  556 085 ;  273 861 ;  282 224 ;  530 260 ;  260 174 ;  270 086 ;  25 825 ;  13 687 ;  12 138 ;35028;;;;;;;;
Pirassununga;  183 561 ;  91 238 ;  92 323 ;  172 695 ;  85 406 ;  87 289 ;  10 866 ;  5 832 ;  5 034 ;35029;;;;;;;;
Presidente Prudente;  573 368 ;  282 788 ;  290 580 ;  514 625 ;  249 674 ;  264 951 ;  58 743 ;  33 114 ;  25 629 ;35036;;;;;;;;
Registro;  243 592 ;  122 331 ;  121 261 ;  175 362 ;  85 974 ;  89 388 ;  68 230 ;  36 357 ;  31 873 ;35055;;;;;;;;
Ribeirão Preto; 1 032 547 ;  506 074 ;  526 473 ; 1 012 880 ;  494 493 ;  518 387 ;  19 667 ;  11 581 ;  8 086 ;35014;;;;;;;;
Rio Claro;  242 577 ;  120 343 ;  122 234 ;  229 530 ;  113 351 ;  116 179 ;  13 047 ;  6 992 ;  6 055 ;35026;;;;;;;;
Santos; 1 471 013 ;  702 271 ;  768 742 ; 1 469 237 ;  701 320 ;  767 917 ;  1 776 ;   951 ;   825 ;35063;;;;;;;;
São Carlos;  308 777 ;  152 728 ;  156 049 ;  292 778 ;  144 249 ;  148 529 ;  15 999 ;  8 479 ;  7 520 ;35025;;;;;;;;
São João da Boa Vista;  409 370 ;  203 386 ;  205 984 ;  360 709 ;  176 547 ;  184 162 ;  48 661 ;  26 839 ;  21 822 ;35030;;;;;;;;
São Joaquim da Barra;  211 389 ;  105 089 ;  106 300 ;  203 147 ;  100 701 ;  102 446 ;  8 242 ;  4 388 ;  3 854 ;35010;;;;;;;;
São José do Rio Preto;  763 534 ;  373 716 ;  389 818 ;  705 274 ;  342 913 ;  362 361 ;  58 260 ;  30 803 ;  27 457 ;35004;;;;;;;;
São José dos Campos; 1 415 146 ;  695 812 ;  719 334 ; 1 368 382 ;  670 420 ;  697 962 ;  46 764 ;  25 392 ;  21 372 ;35050;;;;;;;;
São Paulo; 13 804 831 ; 6 559 587 ; 7 245 244 ; 13 690 867 ; 6 502 645 ; 7 188 222 ;  113 964 ;  56 942 ;  57 022 ;35061;;;;;;;;
Sorocaba; 1 323 847 ;  654 887 ;  668 960 ; 1 236 953 ;  608 839 ;  628 114 ;  86 894 ;  46 048 ;  40 846 ;35046;;;;;;;;
Tatuí;  257 318 ;  128 467 ;  128 851 ;  229 670 ;  113 612 ;  116 058 ;  27 648 ;  14 855 ;  12 793 ;35043;;;;;;;;
Tupã;  109 773 ;  53 730 ;  56 043 ;  100 485 ;  48 806 ;  51 679 ;  9 288 ;  4 924 ;  4 364 ;35037;;;;;;;;
Votuporanga;  139 475 ;  69 528 ;  69 947 ;  127 635 ;  62 664 ;  64 971 ;  11 840 ;  6 864 ;  4 976 ;35003;;;;;;;;
Municípios e Distritos;;;;;;;;;;;;;;;;;;
Adamantina;  33 797 ;  16 374 ;  17 423 ;  31 948 ;  15 352 ;  16 596 ;  1 849 ;  1 022 ;   827 ;3500105;;;;;;;;
