"","Região","Subsetor","Trabalhadores"
"114","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"115","Centro","Comércio varejista",3
"116","Centro","Transportes e comunicaçoes",163
"117","Centro","Ensino",58
"118","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",27
"119","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"120","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",5
"121","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"122","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",7
"123","Centro","Comércio varejista",3
"124","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"125","Centro","Ensino",10
"126","Centro","Ensino",1
"127","Centro","Comércio varejista",1
"128","Centro","Comércio atacadista",5
"129","Centro","Instituiçoes de crédito, seguros e capitalizaçao",2
"130","Centro","Ensino",5
"131","Centro","Comércio varejista",12
"132","Centro","Comércio varejista",8
"133","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"134","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",13
"135","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",12
"136","Centro","Comércio varejista",2
"137","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"138","Centro","Comércio varejista",2
"139","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",11
"140","Centro","Comércio varejista",3
"141","Centro","Comércio atacadista",7
"142","Centro","Indústria têxtil do vestuário e artefatos de tecidos",1
"143","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"144","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"145","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"146","Centro","Comércio varejista",4
"147","Centro","Serviços médicos, odontológicos e veterinários",38
"148","Centro","Serviços médicos, odontológicos e veterinários",1
"149","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"150","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"151","Centro","Construçao civil",0
"152","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"153","Centro","Comércio varejista",1
"154","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",5
"155","Centro","Serviços médicos, odontológicos e veterinários",1
"156","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",5
"157","Centro","Comércio varejista",3
"158","Centro","Comércio varejista",1
"159","Centro","Comércio varejista",0
"160","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"161","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",6
"162","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",12
"163","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"164","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"165","Centro","Ensino",3
"166","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"167","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",15
"168","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"169","Centro","Construçao civil",3
"170","Centro","Comércio varejista",5
"171","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",19
"172","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",7
"173","Centro","Comércio varejista",3
"174","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",58
"175","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"176","Centro","Comércio varejista",1
"177","Centro","Comércio varejista",6
"178","Centro","Comércio varejista",5
"179","Centro","Comércio varejista",1
"180","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"181","Centro","Comércio varejista",1
"182","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"183","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",9
"184","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"185","Centro","Comércio varejista",6
"186","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"187","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"188","Centro","Comércio varejista",3
"189","Centro","Comércio varejista",3
"190","Centro","Comércio varejista",3
"191","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"192","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",10
"193","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",8
"194","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"195","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
